Season,Age,Team,Pos,No.,G,GS,Off_Snaps,Off%,Def_Snaps,Def%,ST_Snaps,ST%,Player,PlayerID
2019,21,OAK,RB,28,13,13,460,56%,0,0%,0,0%,Josh Jacobs,JacoJo01
2021,23,LVR,RB,28,15,14,625,63%,0,0%,3,1%,Josh Jacobs,JacoJo01
2023,25,LVR,RB,8,13,13,600,76%,0,0%,0,0%,Josh Jacobs,JacoJo01
2025,27,GNB,RB,8,15,15,554,59%,0,0%,4,1%,Josh Jacobs,JacoJo01
