Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,Rec_Y/R,Rec_TD,Rec_1D,Rec_Succ%,Rec_Lng,Rec/G,Rec_Y/G,Catch%,Rec_Y/Tgt,Touches,Y/Touch,Scrimmage_Yds,Rush_Rec_TD,Fmb,av,awards,Player,PlayerID
2019,21,OAK,RB,13,13,242,1150,7,53,49.6,51,4.8,88.5,18.6,27,20,166,8.3,0,8,51.9,28,1.5,12.8,74.1,6.1,262,5.0,1316,7,1,8,AP ORoY-2,Josh Jacobs,JacoJo01
2020,22,LVR,RB,15,15,273,1065,12,61,50.2,28,3.9,71.0,18.2,45,33,238,7.2,0,9,46.7,29,2.2,15.9,73.3,5.3,306,4.3,1303,12,2,8,PB,Josh Jacobs,JacoJo01
2021,23,LVR,RB,15,14,217,872,9,48,53.0,28,4.0,58.1,14.5,64,54,348,6.4,0,16,51.6,29,3.6,23.2,84.4,5.4,271,4.5,1220,9,2,7,,Josh Jacobs,JacoJo01
2022,24,LVR,RB,17,17,340,1653,12,93,57.4,86,4.9,97.2,20.0,64,53,400,7.5,0,16,50.0,43,3.1,23.5,82.8,6.3,393,5.2,2053,12,3,15,"PB,AP-1,AP OPoY-5",Josh Jacobs,JacoJo01
2023,25,LVR,RB,13,13,233,805,6,34,45.9,63,3.5,61.9,17.9,54,37,296,8.0,0,15,55.6,21,2.8,22.8,68.5,5.5,270,4.1,1101,6,3,6,,Josh Jacobs,JacoJo01
2024,26,GNB,RB,17,17,301,1329,15,75,52.2,38,4.4,78.2,17.7,43,36,342,9.5,1,18,53.5,49,2.1,20.1,83.7,8.0,337,5.0,1671,16,4,12,"PB,AP OPoY-11",Josh Jacobs,JacoJo01
2025,27,GNB,RB,15,15,234,929,13,55,49.1,40,4.0,61.9,15.6,44,36,282,7.8,1,8,52.3,31,2.4,18.8,81.8,6.4,270,4.5,1211,14,3,9,,Josh Jacobs,JacoJo01
