Season,Age,Team,Pos,G,GS,Tgt,Rec,Rec_Yds,Rec_1D,Rec_AirYds,Rec_AirYds/R,Rec_YAC,Rec_YAC/R,Rec_aDOT,Rec_BrkTkl,Rec_BrkTkl/R,Rec_Drops,Rec_Drop%,Rec_Int,Rec_PassRtg,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YAC,Rush_BrkTkl,Awards,Player,PlayerID
2018,24,LAC,TE,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,,,,,Hunter Henry,HenrHu00
2019,25,LAC,TE,12,12,76,55,652,36,488,8.9,164,3.0,10.2,0,,4,5.3,1,114.6,0,0,0,0,0,0,,Hunter Henry,HenrHu00
2020,26,LAC,TE,14,14,93,60,613,35,387,6.5,226,3.8,8.0,3,20.0,2,2.2,1,93.2,0,0,0,0,0,0,,Hunter Henry,HenrHu00
2021,27,NWE,TE,17,10,75,50,603,35,459,9.2,144,2.9,9.7,1,50.0,0,0.0,2,119.6,0,0,0,0,0,0,,Hunter Henry,HenrHu00
2022,28,NWE,TE,17,14,59,41,509,23,306,7.5,203,5.0,7.7,0,,3,5.1,1,100.2,0,0,0,0,0,0,,Hunter Henry,HenrHu00
2023,29,NWE,TE,14,10,61,42,419,29,341,8.1,78,1.9,8.8,1,42.0,3,4.9,2,107.2,0,0,0,0,0,0,,Hunter Henry,HenrHu00
2024,30,NWE,TE,16,16,97,66,674,40,406,6.2,268,4.1,7.0,2,33.0,2,2.1,1,90.3,0,0,0,0,0,0,,Hunter Henry,HenrHu00
2025,31,NWE,TE,17,17,87,60,768,42,433,7.2,335,5.6,8.0,1,60.0,3,3.4,2,113.6,0,0,0,0,0,0,,Hunter Henry,HenrHu00
