Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YBC/A,Rush_YAC,Rush_YAC/A,Rush_BrkTkl,Tgt,Rec,Rec_Yds,Rec_1D,Rec_AirYds,Rec_YAC,Rec_BrkTkl,Rec_Drops,Rec_Int,Awards,Player,PlayerID
2018,29,TEN,QB,8,3,6,0,2,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,,Blaine Gabbert,GabbBl00
2020,31,TAM,QB,4,0,9,16,0,16,1.8,0,0.0,0,0,0,0,0,0,0,0,0,0,,Blaine Gabbert,GabbBl00
2021,32,TAM,QB,6,0,9,-7,0,-7,-0.8,0,0.0,0,0,0,0,0,0,0,0,0,0,,Blaine Gabbert,GabbBl00
2023,34,KAN,QB,2,1,7,45,2,22,3.1,23,3.3,0,0,0,0,0,0,0,0,0,0,,Blaine Gabbert,GabbBl00
