Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YBC/A,Rush_YAC,Rush_YAC/A,Rush_BrkTkl,Tgt,Rec,Rec_Yds,Rec_1D,Rec_AirYds,rec_air_yds_per_rec,Rec_YAC,rec_yac_per_rec,rec_adot,Rec_BrkTkl,Rec_Drops,rec_drop_pct,Rec_Int,rec_pass_rating,Awards,Player,PlayerID
2018,36,PIT,QB,16,16,31,98,13,66,2.1,32,1.0,0,1,1,-1,0,0,0.0,-1,-1.0,0.0,0,0,0.0,0,79.2,,Ben Roethlisberger,RoetBe00
2019,37,PIT,QB,2,2,1,7,0,7,7.0,0,0.0,0,0,0,0,0,0,,0,,,0,0,,0,,,Ben Roethlisberger,RoetBe00
2020,38,PIT,QB,15,15,25,11,3,6,0.2,5,0.2,0,0,0,0,0,0,,0,,,0,0,,0,,AP CPoY-2,Ben Roethlisberger,RoetBe00
2021,39,PIT,QB,16,16,20,5,3,2,0.1,3,0.2,0,0,0,0,0,0,,0,,,0,0,,0,,,Ben Roethlisberger,RoetBe00
