Season,Age,Team,Pos,G,GS,Def_Int,Def_Int_Yds,Def_Int_TD,Def_Int_Lng,PD,FF,Fmb,FR,FR_Yds,FR_TD,Sk,Tkl_Comb,Tkl_Solo,Tkl_Ast,TFL,QBHits,Sfty,awards,Player,PlayerID
2000,23,SEA,RB,16,1,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,,0,,Shaun Alexander,AlexSh00
2001,24,SEA,RB,16,12,0,0,0,0,0,0,4,3,8,0,0.0,0,0,0,0,,0,,Shaun Alexander,AlexSh00
2002,25,SEA,RB,16,16,0,0,0,0,0,0,3,3,0,0,0.0,0,0,0,0,,0,,Shaun Alexander,AlexSh00
2003,26,SEA,RB,16,15,0,0,0,0,0,0,4,2,0,0,0.0,0,0,0,0,,0,PB,Shaun Alexander,AlexSh00
2004,27,SEA,RB,16,16,0,0,0,0,0,0,5,2,0,0,0.0,0,0,0,0,,0,"PB,AP-2",Shaun Alexander,AlexSh00
2005,28,SEA,RB,16,16,0,0,0,0,0,0,5,0,0,0,0.0,,,,,,0,"PB,AP-1,AP MVP-1,AP OPoY-1",Shaun Alexander,AlexSh00
2006,29,SEA,RB,10,10,0,0,0,0,0,0,6,2,0,0,0.0,0,0,0,0,0,0,,Shaun Alexander,AlexSh00
2007,30,SEA,RB,13,10,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,0,,Shaun Alexander,AlexSh00
