Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YBC/A,Rush_YAC,Rush_YAC/A,Rush_BrkTkl,Rush_BrkTkl/A,Tgt,Rec,Rec_Yds,Rec_1D,Rec_AirYds,Rec_YAC,Rec_BrkTkl,Rec_Drops,Rec_Int,Awards,Player,PlayerID
2023,24,TEN,QB,9,9,25,57,7,34,1.4,23,0.9,0,,0,0,0,0,0,0,0,0,0,,Will Levis,LeviWi00
2024,25,TEN,QB,12,12,45,183,20,129,2.9,54,1.2,4,11.3,0,0,0,0,0,0,0,0,0,,Will Levis,LeviWi00
