Season,Age,Team,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards,Player,PlayerID
2023,24,TEN,QB,9,9,101,93,103,97,71,87,117,78,92,,Will Levis,LeviWi00
2024,25,TEN,QB,12,12,97,87,87,81,93,100,67,63,86,,Will Levis,LeviWi00
