Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YBC/A,Rush_YAC,Rush_YAC/A,Rush_BrkTkl,Rush_BrkTkl/A,Tgt,Rec,Rec_Yds,Rec_1D,Rec_AirYds,Rec_AirYds/R,Rec_YAC,Rec_YAC/R,Rec_aDOT,Rec_BrkTkl,Rec_BrkTkl/R,Rec_Drops,Rec_Drop%,Rec_Int,Rec_PassRtg,awards,Player,PlayerID
2019,27,NYJ,RB,15,15,245,789,36,287,1.2,502,2.0,16,15.3,78,66,461,20,21,0.3,440,6.7,0.6,12,5.5,2,2.6,1,90.2,,Le'Veon Bell,BellLe00
2020,28,2TM,RB,11,4,82,328,21,163,2.0,165,2.0,9,9.1,20,16,138,7,2,0.1,136,8.5,0.5,2,8.0,1,5.0,0,95.4,,Le'Veon Bell,BellLe00
2021,29,2TM,RB,8,0,39,101,9,58,1.5,43,1.1,3,13.0,7,5,30,3,4,0.8,26,5.2,0.7,1,5.0,1,14.3,0,119.0,,Le'Veon Bell,BellLe00
