Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,tackles_loss,QBHits,safety_md,awards,Player,PlayerID
2016,24,DEN,NFL,WR,16,0,0,0,0,0,0,0,1,1,0,0,0.0,3,2,1,0,0,0,,Jordan Taylor,TaylJo01
2017,25,DEN,NFL,WR,10,2,0,0,0,0,0,0,1,1,0,0,0.0,3,3,0,1,0,0,,Jordan Taylor,TaylJo01
