Season,Age,Team,Pos,No.,G,GS,offense,Off%,defense,Def%,special_teams,ST%,Player,PlayerID
2016,24,DEN,WR,87,16,0,277,,0,,188,,Jordan Taylor,TaylJo01
2017,25,DEN,WR,87,10,2,258,,0,,104,,Jordan Taylor,TaylJo01
