Season,Age,Team,Pos,No.,G,GS,offense,Off%,defense,Def%,special_teams,ST%,Player,PlayerID
2012,32,DAL,QB,9,16,16,1089,99%,0,0%,0,0%,Tony Romo,RomoTo00
2013,33,DAL,QB,9,15,15,920,99%,0,0%,0,0%,Tony Romo,RomoTo00
2015,35,DAL,QB,9,4,4,232,82%,0,0%,0,0%,Tony Romo,RomoTo00
2016,36,DAL,QB,9,1,0,7,13%,0,0%,0,0%,Tony Romo,RomoTo00
