Season,Age,Team,Pos,G,GS,Cmp,Att,pass_target_yds,pass_tgt_yds_per_att,pass_air_yds,pass_air_yds_per_cmp,pass_air_yds_per_att,pass_yac,pass_yac_per_cmp,pass_batted_passes,pass_throwaways,pass_spikes,pass_drops,pass_drop_pct,pass_poor_throws,pass_poor_throw_pct,pass_on_target,pass_on_target_pct,pocket_time,pass_blitzed,pass_hurried,pass_hits,pass_pressured,pass_pressured_pct,rush_scrambles,rush_scrambles_yds_per_att,pass_rpo,pass_rpo_yds,pass_rpo_pass_att,pass_rpo_pass_yds,pass_rpo_rush_att,pass_rpo_rush_yds,pass_play_action,pass_play_action_pass_yds,Awards,Player,PlayerID
2023,22,CAR,QB,16,16,315,527,3980,7.6,1572,5.0,3.0,1305,4.1,6,46,1,23,4.8,103,21.5,352,73.3,2.5,166,38,50,150,24.2,31,8.4,31,149,26,145,1,4,81,589,,Bryce Young,YounBr01
2024,23,CAR,QB,14,12,234,384,3298,8.6,1434,6.1,3.7,969,4.1,1,25,0,15,4.2,80,22.3,258,71.9,2.3,136,53,38,120,26.7,37,6.9,41,200,36,198,2,2,70,451,,Bryce Young,YounBr01
2025,24,CAR,QB,13,13,245,387,2525,6.5,1183,4.8,3.1,1317,5.4,8,24,1,15,4.1,62,17.1,282,77.9,2.4,97,40,39,102,23.4,26,6.7,39,334,35,315,4,19,79,557,,Bryce Young,YounBr01
