Season,Age,Team,Pos,No.,G,GS,offense,Off%,defense,Def%,special_teams,ST%,Player,PlayerID
2023,22,CAR,QB,9,16,16,1068,100%,0,0%,0,0%,Bryce Young,YounBr01
2024,23,CAR,QB,9,14,12,728,88%,0,0%,0,0%,Bryce Young,YounBr01
2025,24,CAR,QB,9,13,13,806,96%,0,0%,0,0%,Bryce Young,YounBr01
