Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,Rec_TD,Rec_1D,Rec/G,Rec_Y/G,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,Fmb,Awards,Player,PlayerID
2023,22,CAR,QB,16,16,39,253,0,18,64.1,26,6.5,15.8,2.4,0,0,0,0,0,0.0,0.0,39,6.5,253,0,11,,Bryce Young,YounBr01
2024,23,CAR,QB,14,12,43,249,6,15,53.5,34,5.8,17.8,3.1,0,0,0,0,0,0.0,0.0,43,5.8,249,6,5,,Bryce Young,YounBr01
2025,24,CAR,QB,16,16,54,216,2,16,44.4,24,4.0,13.5,3.4,0,0,0,0,0,0.0,0.0,54,4.0,216,2,7,,Bryce Young,YounBr01
