Season,Age,Team,Pos,No.,G,GS,Off_Snaps,Off%,Def_Snaps,Def%,ST_Snaps,ST%,Player,PlayerID
2018,22,DAL,TE,86,11,7,300,40%,0,0%,66,24%,Dalton Schultz,SchuDa00
2019,23,DAL,TE,86,16,0,117,10%,0,0%,95,22%,Dalton Schultz,SchuDa00
2020,24,DAL,TE,86,16,14,973,85%,0,0%,9,2%,Dalton Schultz,SchuDa00
2021,25,DAL,TE,86,17,15,993,81%,0,0%,86,18%,Dalton Schultz,SchuDa00
2022,26,DAL,TE,86,15,15,817,79%,0,0%,1,0%,Dalton Schultz,SchuDa00
2023,27,HOU,TE,86,15,8,739,73%,0,0%,1,0%,Dalton Schultz,SchuDa00
2024,28,HOU,TE,86,17,13,865,78%,0,0%,12,3%,Dalton Schultz,SchuDa00
2025,29,HOU,TE,86,17,6,827,71%,0,0%,2,0%,Dalton Schultz,SchuDa00
