Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,rec_pass_rating,Att,Yds,1D,YBC,YAC,BrkTkl,awards,Player,PlayerID
2018,22,DAL,NFL,TE,11,7,17,12,116,6,50,4.2,66,5.5,4.1,2,6.0,1,5.9,0,89.3,0,0,0,0,0,0,,Dalton Schultz,SchuDa00
2019,23,DAL,NFL,TE,16,0,2,1,6,0,5,5.0,1,1.0,10.0,0,,0,0.0,0,56.2,0,0,0,0,0,0,,Dalton Schultz,SchuDa00
2020,24,DAL,NFL,TE,16,14,89,63,615,33,336,5.3,279,4.4,6.4,8,7.9,4,4.5,2,95.5,0,0,0,0,0,0,,Dalton Schultz,SchuDa00
2021,25,DAL,NFL,TE,17,15,104,78,808,43,460,5.9,348,4.5,7.1,3,26.0,4,3.8,1,118.6,0,0,0,0,0,0,,Dalton Schultz,SchuDa00
2022,26,DAL,NFL,TE,15,15,89,57,577,27,373,6.5,204,3.6,7.2,5,11.4,6,6.7,5,77.8,0,0,0,0,0,0,,Dalton Schultz,SchuDa00
2023,27,HOU,NFL,TE,15,8,88,59,635,35,376,6.4,259,4.4,7.5,8,7.4,3,3.4,2,97.5,0,0,0,0,0,0,,Dalton Schultz,SchuDa00
2024,28,HOU,NFL,TE,17,13,85,53,532,26,318,6.0,214,4.0,8.1,0,,4,4.7,1,83.1,0,0,0,0,0,0,,Dalton Schultz,SchuDa00
2025,29,HOU,NFL,TE,14,4,93,70,650,34,356,5.1,294,4.2,6.4,2,35.0,2,2.2,0,101.1,0,0,0,0,0,0,,Dalton Schultz,SchuDa00
