Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YBC/A,Rush_YAC,Rush_YAC/A,Rush_BrkTkl,Rush_BrkTkl/A,Tgt,Rec,Rec_Yds,Rec_1D,Rec_AirYds,Rec_AirYds/R,Rec_YAC,Rec_YAC/R,Rec_aDOT,Rec_BrkTkl,Rec_BrkTkl/R,Rec_Drops,Rec_Drop%,Rec_Int,Rec_PassRtg,awards,Player,PlayerID
2018,26,SFO,RB,9,0,34,261,13,143,4.2,118,3.5,5,6.8,7,6,25,1,-19,-3.2,44,7.3,-0.6,0,,0,0.0,0,81.5,,Raheem Mostert,MostRa00
2019,27,SFO,RB,16,0,137,772,31,475,3.5,297,2.2,12,11.4,22,14,180,6,25,1.8,155,11.1,2.0,1,14.0,2,9.1,0,119.5,,Raheem Mostert,MostRa00
2020,28,SFO,RB,8,8,104,521,22,346,3.3,175,1.7,5,20.8,19,16,156,5,20,1.3,136,8.5,1.1,1,16.0,0,0.0,0,118.4,,Raheem Mostert,MostRa00
2021,29,SFO,RB,1,1,2,20,1,18,9.0,2,1.0,0,,0,0,0,0,0,,0,,,0,,0,,0,,,Raheem Mostert,MostRa00
2022,30,MIA,RB,16,14,181,891,44,512,2.8,379,2.1,16,11.3,42,31,202,11,23,0.7,179,5.8,1.1,8,3.9,2,4.8,1,89.6,,Raheem Mostert,MostRa00
2023,31,MIA,RB,15,15,209,1012,59,547,2.6,465,2.2,16,13.1,32,25,175,6,-38,-1.5,213,8.5,-0.6,6,4.2,1,3.1,1,107.7,PB,Raheem Mostert,MostRa00
2024,32,MIA,RB,13,1,85,278,13,143,1.7,135,1.6,1,85.0,23,19,161,10,15,0.8,146,7.7,0.6,2,9.5,0,0.0,0,95.8,,Raheem Mostert,MostRa00
2025,33,LVR,RB,12,0,22,104,5,36,1.6,68,3.1,2,11.0,12,12,70,6,-16,-1.3,86,7.2,-1.3,0,,0,0.0,0,91.0,,Raheem Mostert,MostRa00
