Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,rec_success,rec_long,R/G,Y/G,catch_pct,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,av,awards,Player,PlayerID
2017,22,TEN,NFL,TE,16,13,30,18,157,8.7,2,5,40.0,32,1.1,9.8,60.0,5.2,0,0,0,0,,,,0.0,0.0,18,8.7,157,2,0,1,,Jonnu Smith,SmitJo01
2018,23,TEN,NFL,TE,13,12,30,20,258,12.9,3,10,56.7,61,1.5,19.8,66.7,8.6,0,0,0,0,,,,0.0,0.0,20,12.9,258,3,1,2,,Jonnu Smith,SmitJo01
2019,24,TEN,NFL,TE,16,14,44,35,439,12.5,3,16,56.8,57,2.2,27.4,79.5,10.0,4,78,0,2,100.0,57.0,19.5,4.9,0.3,39,13.3,517,3,0,4,,Jonnu Smith,SmitJo01
2020,25,TEN,NFL,TE,15,14,65,41,448,10.9,8,25,55.4,63,2.7,29.9,63.1,6.9,2,4,1,1,50.0,3.0,2.0,0.3,0.1,43,10.5,452,9,0,5,,Jonnu Smith,SmitJo01
2021,26,NWE,NFL,TE,16,11,45,28,294,10.5,1,15,40.0,28,1.8,18.4,62.2,6.5,9,40,0,2,44.4,9.0,4.4,2.5,0.6,37,9.0,334,1,1,3,,Jonnu Smith,SmitJo01
2022,27,NWE,NFL,TE,14,8,38,27,245,9.1,0,9,47.4,53,1.9,17.5,71.1,6.4,1,5,0,1,100.0,5.0,5.0,0.4,0.1,28,8.9,250,0,1,2,,Jonnu Smith,SmitJo01
2023,28,ATL,NFL,TE,17,6,70,50,582,11.6,3,26,51.4,60,2.9,34.2,71.4,8.3,1,0,0,0,0.0,,0.0,0.0,0.1,51,11.4,582,3,1,5,,Jonnu Smith,SmitJo01
2024,29,MIA,NFL,TE,17,6,111,88,884,10.0,8,55,63.1,57,5.2,52.0,79.3,8.0,2,-1,0,0,0.0,,-0.5,-0.1,0.1,90,9.8,883,8,2,8,,Jonnu Smith,SmitJo01
2025,30,PIT,NFL,TE,17,7,54,38,222,5.8,2,10,44.4,21,2.2,13.1,70.4,4.1,9,70,1,3,66.7,20.0,7.8,4.1,0.5,47,6.2,292,3,1,3,,Jonnu Smith,SmitJo01
