Season,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds_Lost,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards,Player,PlayerID
1985,22,PHI,QB,6,4,1-3-0,34,81,42.0,548,1,1.2,8,9.9,24,26.7,69,6.8,2.57,16.1,91.3,29.8,20,150,19.80,3.94,0.57,0,1,3,,Randall Cunningham,CunnRa00
1986,23,PHI,QB,15,5,1-3-1,111,209,53.1,1391,8,3.8,7,3.3,64,31.3,75,6.7,5.91,12.5,92.7,72.9,72,489,25.62,3.21,2.66,1,1,7,,Randall Cunningham,CunnRa00
1987,24,PHI,QB,12,12,7-5-0,223,406,54.9,2786,23,5.7,12,3.0,117,38.7,70,6.9,6.67,12.5,232.2,83.0,54,380,11.74,5.23,5.06,2,3,11,,Randall Cunningham,CunnRa00
1988,25,PHI,QB,16,16,10-6-0,301,560,53.8,3808,24,4.3,16,2.9,174,39.5,80,6.8,6.37,12.7,238.0,77.6,57,442,9.24,5.46,5.07,3,3,17,"PB,AP-2,AP MVP-2,AP OPoY-3",Randall Cunningham,CunnRa00
1989,26,PHI,QB,16,16,11-5-0,290,532,54.5,3400,21,3.9,15,2.8,167,40.9,66,6.4,5.91,11.7,212.5,75.5,45,343,7.80,5.30,4.86,4,5,16,PB,Randall Cunningham,CunnRa00
1990,27,PHI,QB,16,16,10-6-0,271,465,58.3,3466,30,6.5,13,2.8,162,43.8,95,7.5,7.49,12.8,216.6,91.6,49,431,9.53,5.90,5.93,3,3,20,"PB,AP MVP-2,AP OPoY-2",Randall Cunningham,CunnRa00
1991,28,PHI,QB,1,1,1-0-0,1,4,25.0,19,0,0.0,0,0.0,1,16.7,19,4.8,4.75,19.0,19.0,46.9,2,16,33.33,0.50,0.50,0,0,0,,Randall Cunningham,CunnRa00
1992,29,PHI,QB,15,15,10-5-0,233,384,60.7,2775,19,4.9,11,2.9,127,42.8,75,7.2,6.93,11.9,185.0,87.3,60,437,13.51,5.27,5.01,1,1,15,AP-2,Randall Cunningham,CunnRa00
1993,30,PHI,QB,4,4,4-0-0,76,110,69.1,850,5,4.5,5,4.5,42,47.9,80,7.7,6.59,11.2,212.5,88.1,7,33,5.98,6.98,5.91,2,2,3,,Randall Cunningham,CunnRa00
1994,31,PHI,QB,14,14,7-7-0,265,490,54.1,3229,16,3.3,13,2.7,146,39.8,93,6.6,6.05,12.2,230.6,74.4,43,333,8.07,5.43,4.94,2,2,11,,Randall Cunningham,CunnRa00
1995,32,PHI,QB,7,4,1-3-0,69,121,57.0,605,3,2.5,5,4.1,34,38.1,33,5.0,3.64,8.8,86.4,61.5,13,79,9.70,3.93,2.69,0,0,2,,Randall Cunningham,CunnRa00
1997,34,MIN,QB,6,3,1-2-0,44,88,50.0,501,6,6.8,4,4.5,27,38.9,34,5.7,5.01,11.4,83.5,71.3,7,60,7.37,4.64,4.01,0,0,2,,Randall Cunningham,CunnRa00
1998,35,MIN,QB,15,14,13-1-0,259,425,60.9,3704,34,8.0,10,2.4,165,49.4,67,8.7,9.26,14.3,246.9,106.0,20,132,4.49,8.03,8.54,0,1,19,"PB,AP-1,AP MVP-2,AP OPoY-2,AP CPoY-2",Randall Cunningham,CunnRa00
1999,36,MIN,QB,6,6,2-4-0,124,200,62.0,1475,8,4.0,9,4.5,72,41.9,61,7.4,6.15,11.9,245.8,79.1,15,101,6.98,6.39,5.25,0,0,5,,Randall Cunningham,CunnRa00
2000,37,DAL,QB,6,3,1-2-0,74,125,59.2,849,6,4.8,4,3.2,34,36.8,76,6.8,6.31,11.5,141.5,82.4,8,45,6.02,6.05,5.59,0,0,4,,Randall Cunningham,CunnRa00
2001,38,BAL,QB,6,2,2-0-0,54,89,60.7,573,3,3.4,2,2.2,31,41.6,30,6.4,6.10,10.6,95.5,81.3,12,66,11.88,5.02,4.72,1,2,2,,Randall Cunningham,CunnRa00
