Season,Age,Team,Pos,No.,G,GS,Off_Snaps,Off%,Def_Snaps,Def%,ST_Snaps,ST%,Player,PlayerID
2020,22,BAL,RB,27,15,1,456,47%,0,0%,0,0%,J.K. Dobbins,DobbJK00
2022,24,BAL,RB,27,8,8,202,42%,0,0%,0,0%,J.K. Dobbins,DobbJK00
2023,25,BAL,RB,27,1,1,30,47%,0,0%,0,0%,J.K. Dobbins,DobbJK00
2024,26,LAC,RB,27,13,11,533,63%,0,0%,0,0%,J.K. Dobbins,DobbJK00
2025,27,DEN,RB,27,10,9,340,51%,0,0%,0,0%,J.K. Dobbins,DobbJK00
