Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,tackles_loss,QBHits,safety_md,av,awards,Player,PlayerID
2022,24,TEN,NFL,LB,5,2,1,7,0,7,1,0,0,0,0,0,0.0,28,16,12,0,0,0,1,,Jack Gibbens,GibbJa00
2023,25,TEN,NFL,LB,14,13,0,0,0,0,3,0,0,0,0,0,1.0,95,55,40,3,2,0,6,,Jack Gibbens,GibbJa00
2024,26,TEN,NFL,LB,10,5,0,0,0,0,0,0,0,0,0,0,0.5,44,22,22,2,1,0,2,,Jack Gibbens,GibbJa00
2025,27,NWE,NFL,LB,17,8,0,0,0,0,4,1,0,1,0,0,1.0,81,43,38,8,3,0,5,,Jack Gibbens,GibbJa00
