Season,Age,Team,Pos,G,GS,Tgt,Rec,Rec_Yds,Rec_1D,Rec_AirYds,Rec_AirYds/R,Rec_YAC,Rec_YAC/R,Rec_aDOT,Rec_BrkTkl,Rec_BrkTkl/R,Rec_Drops,Rec_Drop%,Rec_Int,Rec_PassRtg,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YAC,Rush_BrkTkl,Awards,Player,PlayerID
2018,25,CIN,TE,16,15,64,43,439,21,237,5.5,202,4.7,6.7,4,10.8,2,3.1,0,102.3,0,0,0,0,0,0,,C.J. Uzomah,UzomC.00
2019,26,CIN,TE,16,16,40,27,242,12,107,4.0,135,5.0,3.9,1,27.0,2,5.0,1,89.8,0,0,0,0,0,0,,C.J. Uzomah,UzomC.00
2020,27,CIN,TE,2,2,11,8,87,6,57,7.1,30,3.8,8.5,0,,1,9.1,0,125.9,0,0,0,0,0,0,,C.J. Uzomah,UzomC.00
2021,28,CIN,TE,16,16,63,49,493,31,193,3.9,300,6.1,4.3,5,9.8,4,6.3,1,119.1,0,0,0,0,0,0,,C.J. Uzomah,UzomC.00
2022,29,NYJ,TE,15,13,27,21,232,10,127,6.0,105,5.0,7.3,2,10.5,0,0.0,0,127.2,0,0,0,0,0,0,,C.J. Uzomah,UzomC.00
2023,30,NYJ,TE,12,8,12,8,58,5,25,3.1,33,4.1,5.3,2,4.0,1,8.3,0,105.6,0,0,0,0,0,0,,C.J. Uzomah,UzomC.00
2024,31,PHI,TE,7,3,0,0,0,0,0,,0,,,0,,0,,0,,0,0,0,0,0,0,,C.J. Uzomah,UzomC.00
