Season,Age,Team,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards,Player,PlayerID
2017,23,CHI,QB,12,12,89,85,88,85,86,75,104,83,84,,Mitchell Trubisky,TrubMi00
2018,24,CHI,QB,14,14,104,108,103,106,111,111,93,110,107,PB,Mitchell Trubisky,TrubMi00
2019,25,CHI,QB,15,15,77,79,83,84,94,86,106,97,88,,Mitchell Trubisky,TrubMi00
2020,26,CHI,QB,10,9,95,96,96,97,111,108,92,104,102,,Mitchell Trubisky,TrubMi00
2022,28,PIT,QB,7,5,97,100,88,91,102,75,90,105,85,,Mitchell Trubisky,TrubMi00
2023,29,PIT,QB,5,2,76,82,64,71,91,95,47,105,70,,Mitchell Trubisky,TrubMi00
