Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,Rec_TD,Rec_1D,Rec/G,Rec_Y/G,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,Fmb,Awards,Player,PlayerID
2017,23,CHI,QB,12,12,41,248,2,14,39.0,46,6.0,20.7,3.4,0,0,0,0,0,0.0,0.0,41,6.0,248,2,10,,Mitchell Trubisky,TrubMi00
2018,24,CHI,QB,14,14,68,421,3,29,58.8,39,6.2,30.1,4.9,0,0,0,0,0,0.0,0.0,68,6.2,421,3,6,PB,Mitchell Trubisky,TrubMi00
2019,25,CHI,QB,15,15,48,193,2,12,43.8,23,4.0,12.9,3.2,0,0,0,0,0,0.0,0.0,48,4.0,193,2,5,,Mitchell Trubisky,TrubMi00
2020,26,CHI,QB,10,9,33,195,1,12,63.6,45,5.9,19.5,3.3,0,0,0,0,0,0.0,0.0,33,5.9,195,1,6,,Mitchell Trubisky,TrubMi00
2021,27,BUF,QB,6,0,13,24,1,3,23.1,22,1.8,4.0,2.2,0,0,0,0,0,0.0,0.0,13,1.8,24,1,0,,Mitchell Trubisky,TrubMi00
2022,28,PIT,QB,7,5,19,38,2,7,52.6,9,2.0,5.4,2.7,0,0,0,0,0,0.0,0.0,19,2.0,38,2,0,,Mitchell Trubisky,TrubMi00
2023,29,PIT,QB,5,2,16,54,2,6,50.0,15,3.4,10.8,3.2,0,0,0,0,0,0.0,0.0,16,3.4,54,2,1,,Mitchell Trubisky,TrubMi00
2024,30,BUF,QB,9,0,17,1,0,1,11.8,8,0.1,0.1,1.9,0,0,0,0,0,0.0,0.0,17,0.1,1,0,1,,Mitchell Trubisky,TrubMi00
2025,31,BUF,QB,4,0,9,6,0,0,11.1,9,0.7,1.5,2.3,0,0,0,0,0,0.0,0.0,9,0.7,6,0,0,,Mitchell Trubisky,TrubMi00
