Season,Age,Team,Pos,No.,G,GS,Off_Snaps,Off%,Def_Snaps,Def%,ST_Snaps,ST%,Player,PlayerID
2015,22,SDG,RB,28,14,12,394,39%,0,0%,0,0%,Melvin Gordon,GordMe00
2017,24,LAC,RB,28,16,16,749,71%,0,0%,0,0%,Melvin Gordon,GordMe00
2019,26,LAC,RB,25,12,11,427,54%,0,0%,0,0%,Melvin Gordon,GordMe00
2020,27,DEN,RB,25,15,10,627,62%,0,0%,0,0%,Melvin Gordon,GordMe00
2021,28,DEN,RB,25,16,16,514,51%,0,0%,0,0%,Melvin Gordon,GordMe00
2022,29,DEN,RB,25,10,6,284,42%,0,0%,0,0%,Melvin Gordon,GordMe00
2023,30,BAL,RB,33,4,0,56,23%,0,0%,0,0%,Melvin Gordon,GordMe00
