Season,Age,Team,Pos,G,GS,Tgt,Rec,Rec_Yds,Rec_Y/R,Rec_TD,Rec_1D,Rec_Succ%,Rec_Lng,Rec/G,Rec_Y/G,Catch%,Rec_Y/Tgt,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Touches,Y/Touch,Scrimmage_Yds,Rush_Rec_TD,fumbles,AV,Awards,Player,PlayerID
2020,21,CHI,TE,16,9,44,28,243,8.7,2,12,54.5,38,1.8,15.2,63.6,5.5,1,-3,0,0,0.0,-3,-3.0,-0.2,0.1,29,8.3,240,2,1,2,,Cole Kmet,KmetCo00
2021,22,CHI,TE,17,17,93,60,612,10.2,0,29,48.4,25,3.5,36.0,64.5,6.6,1,0,0,0,0.0,,0.0,0.0,0.1,61,10.0,612,0,0,5,,Cole Kmet,KmetCo00
2022,23,CHI,TE,17,17,69,50,544,10.9,7,27,59.4,50,2.9,32.0,72.5,7.9,2,9,0,1,100.0,8,4.5,0.5,0.1,52,10.6,553,7,1,7,,Cole Kmet,KmetCo00
2023,24,CHI,TE,17,17,90,73,719,9.8,6,36,62.2,53,4.3,42.3,81.1,8.0,3,2,0,2,66.7,1,0.7,0.1,0.2,76,9.5,721,6,1,7,,Cole Kmet,KmetCo00
2024,25,CHI,TE,17,16,55,47,474,10.1,4,25,70.9,31,2.8,27.9,85.5,8.6,0,0,0,0,,,,0.0,0.0,47,10.1,474,4,0,4,,Cole Kmet,KmetCo00
2025,26,CHI,TE,16,15,48,30,347,11.6,2,17,50.0,31,1.9,21.7,62.5,7.2,0,0,0,0,,,,0.0,0.0,30,11.6,347,2,0,3,,Cole Kmet,KmetCo00
