Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,rec_pass_rating,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,awards,Player,PlayerID
2020,21,CHI,NFL,TE,16,9,44,28,243,12,107,3.8,136,4.9,6.5,2,14.0,2,4.5,1,83.8,1,-3,0,-3,-3.0,0,0.0,0,,Cole Kmet,KmetCo00
2021,22,CHI,NFL,TE,17,17,93,60,612,29,366,6.1,246,4.1,7.8,4,15.0,5,5.4,2,74.3,1,0,0,0,0.0,0,0.0,0,,Cole Kmet,KmetCo00
2022,23,CHI,NFL,TE,17,17,69,50,544,27,258,5.2,286,5.7,6.7,3,16.7,2,2.9,4,105.0,2,9,1,9,4.5,0,0.0,0,,Cole Kmet,KmetCo00
2023,24,CHI,NFL,TE,17,17,90,73,719,36,429,5.9,290,4.0,6.2,4,18.3,1,1.1,2,112.9,3,2,2,2,0.7,0,0.0,0,,Cole Kmet,KmetCo00
2024,25,CHI,NFL,TE,17,16,55,47,474,25,293,6.2,181,3.9,7.1,1,47.0,1,1.8,1,119.2,0,0,0,0,,0,,0,,Cole Kmet,KmetCo00
2025,26,CHI,NFL,TE,16,15,48,30,347,17,198,6.6,149,5.0,8.8,2,15.0,2,4.2,1,89.5,0,0,0,0,,0,,0,,Cole Kmet,KmetCo00
