Season,Age,Team,Pos,G,GS,Tgt,Rec,Rec_Yds,Rec_1D,Rec_AirYds,Rec_AirYds/R,Rec_YAC,Rec_YAC/R,Rec_aDOT,Rec_BrkTkl,Rec_BrkTkl/R,Rec_Drops,Rec_Drop%,Rec_Int,Rec_PassRtg,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YAC,Rush_BrkTkl,Awards,Player,PlayerID
2018,29,NWE,TE,13,11,72,47,682,34,500,10.6,182,3.9,12.4,1,47.0,3,4.2,2,98.3,0,0,0,0,0,0,,Rob Gronkowski,GronRo00
2020,31,TAM,TE,16,16,77,45,623,29,377,8.4,246,5.5,11.0,1,45.0,2,2.6,2,104.0,0,0,0,0,0,0,,Rob Gronkowski,GronRo00
2021,32,TAM,TE,12,12,89,55,802,39,452,8.2,350,6.4,10.1,9,6.1,5,5.6,0,113.6,0,0,0,0,0,0,,Rob Gronkowski,GronRo00
