Season,Age,Team,Pos,No.,G,GS,offense,Off%,defense,Def%,special_teams,ST%,Player,PlayerID
2017,22,SEA,DB,33,9,0,0,,8,,104,,Tedric Thompson,ThomTe00
2018,23,SEA,FS,33,14,10,0,,656,,177,,Tedric Thompson,ThomTe00
2019,24,SEA,FS,33,6,6,0,,387,,54,,Tedric Thompson,ThomTe00
2020,25,KAN,DB,24,8,0,0,,93,,43,,Tedric Thompson,ThomTe00
2021,26,CLE,DB,37,1,0,0,,0,,3,,Tedric Thompson,ThomTe00
