Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YBC/A,Rush_YAC,Rush_YAC/A,Rush_BrkTkl,Rush_BrkTkl/A,Tgt,Rec,Rec_Yds,Rec_1D,Rec_AirYds,Rec_YAC,Rec_BrkTkl,Rec_Drops,Rec_Int,Awards,Player,PlayerID
2024,24,WAS,QB,17,17,148,891,64,653,4.4,238,1.6,9,16.4,0,0,0,0,0,0,0,0,0,"PB,AP MVP-7,AP OPoY-17,AP ORoY-1",Jayden Daniels,DaniJa02
2025,25,WAS,QB,7,7,58,278,14,167,2.9,111,1.9,4,14.5,0,0,0,0,0,0,0,0,0,,Jayden Daniels,DaniJa02
