Season,Age,Team,Pos,G,GS,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,FF,Fmb,FR,FR_Yds,FR_TD,sacks,tackles_combined,tackles_solo,tackles_assists,tackles_loss,qb_hits,safety_md,Awards,Player,PlayerID
2024,24,WAS,QB,17,17,0,0,0,0,0,0,5,0,-11,0,0.0,0,0,0,0,0,0,"PB,AP MVP-7,AP OPoY-17,AP ORoY-1",Jayden Daniels,DaniJa02
2025,25,WAS,QB,7,7,0,0,0,0,0,0,3,1,-4,0,0.0,0,0,0,0,0,0,,Jayden Daniels,DaniJa02
