Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,rec_success,rec_long,R/G,Y/G,catch_pct,Y/Tgt,Touch,yds_per_touch,yds_from_scrimmage,rush_receive_td,Fmb,av,awards,Player,PlayerID
2018,21,NYG,NFL,RB,16,16,261,1307,11,50,39.8,78,5.0,81.7,16.3,121,91,721,7.9,4,30,38.0,57,5.7,45.1,75.2,6.0,352,5.8,2028,15,0,14.0,,Saquon Barkley,BarkSa00
2019,22,NYG,NFL,RB,13,13,217,1003,6,45,43.3,68,4.6,77.2,16.7,73,52,438,8.4,2,14,34.2,65,4.0,33.7,71.2,6.0,269,5.4,1441,8,1,9.0,,Saquon Barkley,BarkSa00
2020,23,NYG,NFL,RB,2,2,19,34,0,1,26.3,18,1.8,17.0,9.5,9,6,60,10.0,0,3,44.4,38,3.0,30.0,66.7,6.7,25,3.8,94,0,0,1.0,,Saquon Barkley,BarkSa00
2021,24,NYG,NFL,RB,13,13,162,593,2,27,42.0,41,3.7,45.6,12.5,57,41,263,6.4,2,13,36.8,54,3.2,20.2,71.9,4.6,203,4.2,856,4,2,5.0,,Saquon Barkley,BarkSa00
2022,25,NYG,NFL,RB,16,16,295,1312,10,62,47.5,68,4.4,82.0,18.4,76,57,338,5.9,0,10,38.2,41,3.6,21.1,75.0,4.4,352,4.7,1650,10,1,11.0,,Saquon Barkley,BarkSa00
2023,26,NYG,NFL,RB,14,14,247,962,6,51,40.1,36,3.9,68.7,17.6,60,41,280,6.8,4,16,43.3,46,2.9,20.0,68.3,4.7,288,4.3,1242,10,2,6.0,,Saquon Barkley,BarkSa00
2024,27,PHI,NFL,RB,16,16,345,2005,13,82,52.5,72,5.8,125.3,21.6,43,33,278,8.4,2,12,44.2,43,2.1,17.4,76.7,6.5,378,6.0,2283,15,2,18.0,,Saquon Barkley,BarkSa00
2025,28,PHI,NFL,RB,14,14,240,940,6,37,44.2,65,3.9,67.1,17.1,48,37,273,7.4,2,11,37.5,47,2.6,19.5,77.1,5.7,277,4.4,1213,8,1,,,Saquon Barkley,BarkSa00
