Season,Age,Team,Pos,No.,G,GS,offense,Off%,defense,Def%,special_teams,ST%,Player,PlayerID
2018*,21,NYG,RB,26,16,16,852,,0,,2,,Saquon Barkley,BarkSa00
2019,22,NYG,RB,26,13,13,728,,0,,1,,Saquon Barkley,BarkSa00
2020,23,NYG,RB,26,2,2,67,,0,,0,,Saquon Barkley,BarkSa00
2021,24,NYG,RB,26,13,13,513,,0,,0,,Saquon Barkley,BarkSa00
2022*,25,NYG,RB,26,16,16,856,,0,,2,,Saquon Barkley,BarkSa00
2023,26,NYG,RB,26,14,14,717,,0,,0,,Saquon Barkley,BarkSa00
2024*+,27,PHI,RB,26,16,16,801,,0,,0,,Saquon Barkley,BarkSa00
2025,28,PHI,RB,26,14,14,676,,0,,0,,Saquon Barkley,BarkSa00
