Season,Age,Team,Pos,No.,G,GS,Off_Snaps,Off%,Def_Snaps,Def%,ST_Snaps,ST%,Player,PlayerID
2018,25,BAL,TE,81,12,0,275,31%,0,0%,31,10%,Hayden Hurst,HursHa00
2019,26,BAL,TE,81,16,4,457,41%,0,0%,45,10%,Hayden Hurst,HursHa00
2020,27,ATL,TE,81,16,9,786,70%,0,0%,19,4%,Hayden Hurst,HursHa00
2021,28,ATL,TE,81,13,5,410,50%,0,0%,9,3%,Hayden Hurst,HursHa00
2022,29,CIN,TE,88,13,13,545,61%,0,0%,61,17%,Hayden Hurst,HursHa00
2023,30,CAR,TE,81,9,8,318,51%,0,0%,25,10%,Hayden Hurst,HursHa00
2024,31,LAC,TE,88,9,2,174,31%,0,0%,0,0%,Hayden Hurst,HursHa00
