Season,Age,Team,Pos,No.,G,GS,Off_Snaps,Off%,Def_Snaps,Def%,ST_Snaps,ST%,Player,PlayerID
2023,23,CIN,RB,30,12,0,93,12%,0,0%,160,51%,Chase Brown,BrowCh10
2024,24,CIN,RB,30,16,10,686,65%,0,0%,82,19%,Chase Brown,BrowCh10
2025,25,CIN,RB,30,17,17,738,66%,0,0%,0,0%,Chase Brown,BrowCh10
