Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,Rec_Y/R,Rec_TD,Rec_1D,Rec_Succ%,Rec_Lng,Rec/G,Rec_Y/G,Catch%,Rec_Y/Tgt,Touches,Y/Touch,Scrimmage_Yds,Rush_Rec_TD,Fmb,av,awards,Player,PlayerID
2020,21,IND,RB,15,13,232,1169,11,69,52.2,62,5.0,77.9,15.5,39,36,299,8.3,1,12,51.3,39,2.4,19.9,92.3,7.7,268,5.5,1468,12,1,11,,Jonathan Taylor,TaylJo02
2021,22,IND,RB,17,17,332,1811,18,107,55.4,83,5.5,106.5,19.5,51,40,360,9.0,2,12,43.1,76,2.4,21.2,78.4,7.1,372,5.8,2171,20,4,17,"PB,AP-1,AP OPoY-2",Jonathan Taylor,TaylJo02
2022,23,IND,RB,11,11,192,861,4,39,48.4,66,4.5,78.3,17.5,40,28,143,5.1,0,4,32.5,19,2.5,13.0,70.0,3.6,220,4.6,1004,4,3,5,,Jonathan Taylor,TaylJo02
2023,24,IND,RB,10,7,169,741,7,42,49.1,49,4.4,74.1,16.9,23,19,153,8.1,1,5,43.5,40,1.9,15.3,82.6,6.7,188,4.8,894,8,1,6,,Jonathan Taylor,TaylJo02
2024,25,IND,RB,14,13,303,1431,11,71,45.9,70,4.7,102.2,21.6,31,18,136,7.6,1,7,32.3,25,1.3,9.7,58.1,4.4,321,4.9,1567,12,4,9,"PB,AP CPoY-19",Jonathan Taylor,TaylJo02
2025,26,IND,RB,17,17,323,1585,18,84,51.7,83,4.9,93.2,19.0,55,46,378,8.2,2,15,54.5,43,2.7,22.2,83.6,6.9,369,5.3,1963,20,2,16,PB,Jonathan Taylor,TaylJo02
