Season,Age,Team,Pos,No.,G,GS,Off_Snaps,Off%,Def_Snaps,Def%,ST_Snaps,ST%,Player,PlayerID
2020,21,IND,RB,28,15,13,511,50%,0,0%,0,0%,Jonathan Taylor,TaylJo02
2022,23,IND,RB,28,11,11,524,70%,0,0%,0,0%,Jonathan Taylor,TaylJo02
2023,24,IND,RB,28,10,7,386,58%,0,0%,0,0%,Jonathan Taylor,TaylJo02
