Season,Age,Team,Pos,G,GS,Def_Int,Def_Int_Yds,Def_Int_TD,Def_Int_Lng,PD,FF,Fmb,FR,FR_Yds,FR_TD,Sk,Tkl_Comb,Tkl_Solo,Tkl_Ast,TFL,QBHits,Sfty,awards,Player,PlayerID
2020,21,IND,RB,15,13,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,Jonathan Taylor,TaylJo02
2021,22,IND,RB,17,17,0,0,0,0,0,0,4,3,0,0,0.0,0,0,0,0,0,0,"PB,AP-1,AP OPoY-2",Jonathan Taylor,TaylJo02
2022,23,IND,RB,11,11,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0,0,0,,Jonathan Taylor,TaylJo02
2023,24,IND,RB,10,7,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,Jonathan Taylor,TaylJo02
2024,25,IND,RB,14,13,0,0,0,0,0,0,4,1,0,0,0.0,0,0,0,0,0,0,"PB,AP CPoY-19",Jonathan Taylor,TaylJo02
2025,26,IND,RB,17,17,0,0,0,0,0,0,2,2,0,0,0.0,0,0,0,0,0,0,PB,Jonathan Taylor,TaylJo02
