Season,Age,Team,Pos,No.,G,GS,Off_Snaps,Off%,Def_Snaps,Def%,ST_Snaps,ST%,Player,PlayerID
2012,25,TEN,TE,89,13,5,470,57%,0,0%,15,4%,Jared Cook,CookJa02
2013,26,STL,TE,89,16,13,718,71%,1,0%,3,1%,Jared Cook,CookJa02
2014,27,STL,TE,89,16,6,684,68%,0,0%,2,0%,Jared Cook,CookJa02
2015,28,STL,TE,89,16,12,672,70%,0,0%,4,1%,Jared Cook,CookJa02
2016,29,GNB,TE,89,10,5,328,51%,0,0%,12,4%,Jared Cook,CookJa02
2017,30,OAK,TE,87,16,16,791,79%,0,0%,10,2%,Jared Cook,CookJa02
2020,33,NOR,TE,87,15,5,466,46%,0,0%,0,0%,Jared Cook,CookJa02
2021,34,LAC,TE,87,16,10,644,57%,0,0%,0,0%,Jared Cook,CookJa02
