Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,rec_yds_per_rec,Rec_TD,Rec_1D,rec_success,rec_long,Rec/G,Rec_Y/G,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,Fmb,Awards,Player,PlayerID
1983,22,MIA,QB,11,9,28,45,2,5,21.4,15,1.6,4.1,2.5,0,0,0,,0,0,,,0.0,0.0,,,28,1.6,45,2,5,"PB,AP-2,AP MVP-3,AP OPoY-3,AP ORoY-2",Dan Marino,MariDa00
1984,23,MIA,QB,16,16,28,-7,0,2,10.7,10,-0.3,-0.4,1.8,0,0,0,,0,0,,,0.0,0.0,,,28,-0.3,-7,0,6,"PB,AP-1,AP MVP-1,AP OPoY-1",Dan Marino,MariDa00
1985,24,MIA,QB,16,16,26,-24,0,0,3.8,6,-0.9,-1.5,1.6,0,0,0,,0,0,,,0.0,0.0,,,26,-0.9,-24,0,9,"PB,AP-1",Dan Marino,MariDa00
1986,25,MIA,QB,16,16,12,-3,0,1,16.7,13,-0.3,-0.2,0.8,0,0,0,,0,0,,,0.0,0.0,,,12,-0.3,-3,0,8,"PB,AP-1,AP MVP-3,AP OPoY-2",Dan Marino,MariDa00
1987,26,MIA,QB,12,12,12,-5,1,1,8.3,5,-0.4,-0.4,1.0,0,0,0,,0,0,,,0.0,0.0,,,12,-0.4,-5,1,5,PB,Dan Marino,MariDa00
1988,27,MIA,QB,16,16,20,-17,0,1,5.0,6,-0.9,-1.1,1.3,0,0,0,,0,0,,,0.0,0.0,,,20,-0.9,-17,0,10,AP OPoY-4,Dan Marino,MariDa00
1989,28,MIA,QB,16,16,14,-7,2,3,21.4,2,-0.5,-0.4,0.9,0,0,0,,0,0,,,0.0,0.0,,,14,-0.5,-7,2,7,,Dan Marino,MariDa00
1990,29,MIA,QB,16,16,16,29,0,4,25.0,15,1.8,1.8,1.0,0,0,0,,0,0,,,0.0,0.0,,,16,1.8,29,0,3,,Dan Marino,MariDa00
1991,30,MIA,QB,16,16,27,32,1,4,33.3,11,1.2,2.0,1.7,0,0,0,,0,0,,,0.0,0.0,,,27,1.2,32,1,6,PB,Dan Marino,MariDa00
1992,31,MIA,QB,16,16,20,66,0,4,40.0,12,3.3,4.1,1.3,0,0,0,,0,0,,,0.0,0.0,,,20,3.3,66,0,5,PB,Dan Marino,MariDa00
1993,32,MIA,QB,5,5,9,-4,1,1,11.1,4,-0.4,-0.8,1.8,0,0,0,,0,0,,,0.0,0.0,,,9,-0.4,-4,1,4,,Dan Marino,MariDa00
1994,33,MIA,QB,16,16,22,-6,1,2,9.1,10,-0.3,-0.4,1.4,0,0,0,,0,0,,,0.0,0.0,,,22,-0.3,-6,1,9,"PB,AP-2",Dan Marino,MariDa00
1995,34,MIA,QB,14,14,11,14,0,1,18.2,12,1.3,1.0,0.8,1,1,-6,-6.0,0,0,0.0,-6,0.1,-0.4,100.0,-6.0,12,0.7,8,0,7,"PB,AP-2",Dan Marino,MariDa00
1996,35,MIA,QB,13,13,11,-3,0,0,9.1,7,-0.3,-0.2,0.8,0,0,0,,0,0,,,0.0,0.0,,,11,-0.3,-3,0,4,,Dan Marino,MariDa00
1997,36,MIA,QB,16,16,18,-14,0,0,0.0,1,-0.8,-0.9,1.1,0,0,0,,0,0,,,0.0,0.0,,,18,-0.8,-14,0,8,,Dan Marino,MariDa00
1998,37,MIA,QB,16,16,21,-3,1,1,4.8,10,-0.1,-0.2,1.3,0,0,0,,0,0,,,0.0,0.0,,,21,-0.1,-3,1,9,,Dan Marino,MariDa00
1999,38,MIA,QB,11,11,6,-6,0,1,0.0,,-1.0,-0.5,0.5,0,0,0,,0,0,,,0.0,0.0,,,6,-1.0,-6,0,5,,Dan Marino,MariDa00
