Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,rec_pass_rating,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,awards,Player,PlayerID
2018,28,PHI,NFL,TE,16,16,156,116,1163,66,810,7.0,353,3.0,7.2,3,38.7,5,3.2,5,98.9,0,0,0,0,,0,,0,,Zach Ertz,ErtzZa00
2019,29,PHI,NFL,TE,15,15,135,88,916,50,661,7.5,255,2.9,8.6,5,17.6,5,3.7,1,96.4,0,0,0,0,,0,,0,,Zach Ertz,ErtzZa00
2020,30,PHI,NFL,TE,11,11,72,36,335,16,247,6.9,88,2.4,7.4,0,,5,6.9,3,50.4,0,0,0,0,,0,,0,,Zach Ertz,ErtzZa00
2021,31,2TM,NFL,TE,17,14,112,74,763,40,423,5.7,340,4.6,7.6,2,37.0,6,5.4,4,85.5,1,4,0,4,4.0,0,0.0,0,,Zach Ertz,ErtzZa00
2022,32,ARI,NFL,TE,10,10,69,47,406,24,276,5.9,130,2.8,7.9,2,23.5,3,4.3,1,96.6,0,0,0,0,,0,,0,,Zach Ertz,ErtzZa00
2023,33,ARI,NFL,TE,7,7,43,27,187,8,141,5.2,46,1.7,7.7,0,,2,4.7,2,60.9,0,0,0,0,,0,,0,,Zach Ertz,ErtzZa00
2024,34,WAS,NFL,TE,17,17,91,66,654,38,467,7.1,187,2.8,7.4,0,,4,4.4,2,109.0,0,0,0,0,,0,,0,,Zach Ertz,ErtzZa00
2025,35,WAS,NFL,TE,13,13,72,50,504,25,381,7.6,123,2.5,9.0,1,50.0,5,6.9,2,96.1,0,0,0,0,,0,,0,,Zach Ertz,ErtzZa00
