Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_Succ%,Rush_Lng,Rush_Y/A,Rush_Y/G,Rush_A/G,Tgt,Rec,Rec_Yds,rec_yds_per_rec,Rec_TD,Rec_1D,rec_success,rec_long,Rec/G,Rec_Y/G,catch_pct,rec_yds_per_tgt,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,Fmb,Awards,Player,PlayerID
2020,22,LAC,QB,15,15,55,234,5,20,49.1,31,4.3,15.6,3.7,0,0,0,,0,0,,,0.0,0.0,,,55,4.3,234,5,8,AP ORoY-1,Justin Herbert,HerbJu00
2021,23,LAC,QB,17,17,63,302,3,28,58.7,36,4.8,17.8,3.7,0,0,0,,0,0,,,0.0,0.0,,,63,4.8,302,3,1,PB,Justin Herbert,HerbJu00
2022,24,LAC,QB,17,17,54,147,0,17,40.7,23,2.7,8.6,3.2,2,2,-10,-5.0,0,0,0.0,-2,0.1,-0.6,100.0,-5.0,56,2.4,137,0,8,AP MVP-9,Justin Herbert,HerbJu00
2023,25,LAC,QB,13,13,52,228,3,16,40.4,35,4.4,17.5,4.0,1,1,10,10.0,0,1,100.0,10,0.1,0.8,100.0,10.0,53,4.5,238,3,4,,Justin Herbert,HerbJu00
2024,26,LAC,QB,17,17,69,306,2,23,46.4,41,4.4,18.0,4.1,0,0,0,,0,0,,,0.0,0.0,,,69,4.4,306,2,6,"AP MVP-9,AP CPoY-12",Justin Herbert,HerbJu00
2025,27,LAC,QB,14,14,69,419,1,30,62.3,41,6.1,29.9,4.9,0,0,0,,0,0,,,0.0,0.0,,,69,6.1,419,1,4,,Justin Herbert,HerbJu00
