Season,Age,Team,Pos,G,GS,Tgt,Rec,Rec_Yds,Rec_1D,Rec_AirYds,Rec_AirYds/R,Rec_YAC,Rec_YAC/R,Rec_aDOT,Rec_BrkTkl,Rec_BrkTkl/R,Rec_Drops,Rec_Drop%,Rec_Int,Rec_PassRtg,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YAC,Rush_BrkTkl,Awards,Player,PlayerID
2018,33,CAR,TE,9,9,38,27,291,18,207,7.7,84,3.1,8.9,1,27.0,1,2.6,0,128.3,0,0,0,0,0,0,,Greg Olsen,OlseGr00
2019,34,CAR,TE,14,14,82,52,597,34,396,7.6,201,3.9,9.0,2,26.0,3,3.7,2,83.2,0,0,0,0,0,0,,Greg Olsen,OlseGr00
2020,35,SEA,TE,11,8,37,24,239,16,190,7.9,49,2.0,7.8,0,,2,5.4,2,69.5,0,0,0,0,0,0,,Greg Olsen,OlseGr00
