Season,Age,Team,Pos,No.,G,GS,Off_Snaps,Off%,Def_Snaps,Def%,ST_Snaps,ST%,Player,PlayerID
2012,32,CLE,TE,82,16,14,853,83%,0,0%,61,13%,Ben Watson,WatsBe00
2013,33,NOR,TE,82,15,7,497,47%,0,0%,78,18%,Ben Watson,WatsBe00
2014,34,NOR,TE,82,16,8,571,50%,0,0%,76,17%,Ben Watson,WatsBe00
2015,35,NOR,TE,82,16,16,984,85%,0,0%,78,17%,Ben Watson,WatsBe00
2017,37,BAL,TE,82,16,12,700,65%,0,0%,1,0%,Ben Watson,WatsBe00
2018,38,NOR,TE,82,16,4,507,48%,0,0%,16,4%,Ben Watson,WatsBe00
2019,39,NWE,TE,82,10,8,467,66%,0,0%,0,0%,Ben Watson,WatsBe00
