Season,Age,Team,Pos,G,GS,Tgt,Rec,Rec_Yds,Rec_1D,Rec_AirYds,Rec_AirYds/R,Rec_YAC,Rec_YAC/R,Rec_aDOT,Rec_BrkTkl,Rec_BrkTkl/R,Rec_Drops,Rec_Drop%,Rec_Int,Rec_PassRtg,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YAC,Rush_BrkTkl,Awards,Player,PlayerID
2018,38,NOR,TE,16,4,46,35,400,21,313,8.9,87,2.5,10.2,1,35.0,3,6.5,1,107.2,0,0,0,0,0,0,,Ben Watson,WatsBe00
2019,39,NWE,TE,10,8,24,17,173,9,90,5.3,83,4.9,8.9,2,8.5,2,8.3,0,91.1,0,0,0,0,0,0,,Ben Watson,WatsBe00
