Season,Age,Team,Pos,G,GS,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,FF,Fmb,FR,FR_Yds,FR_TD,sacks,tackles_combined,tackles_solo,tackles_assists,tackles_loss,qb_hits,safety_md,Awards,Player,PlayerID
1998,28,WAS,QB,15,14,0,0,0,0,,0,14,4,0,0,0.0,0,0,0,,,0,,Trent Green,GreeTr00
2000,30,STL,QB,8,5,0,0,0,0,0,0,3,0,0,0,0.0,,,,,,0,AP CPoY-12,Trent Green,GreeTr00
2001,31,KAN,QB,16,16,0,0,0,0,0,0,11,5,-5,0,0.0,0,0,0,0,,0,,Trent Green,GreeTr00
2002,32,KAN,QB,16,16,0,0,0,0,0,0,1,1,-3,0,0.0,0,0,0,0,,0,,Trent Green,GreeTr00
2003,33,KAN,QB,16,16,0,0,0,0,0,0,5,0,-19,0,0.0,0,0,0,0,,0,PB,Trent Green,GreeTr00
2004,34,KAN,QB,16,16,0,0,0,0,0,0,11,3,-6,0,0.0,0,0,0,0,,0,,Trent Green,GreeTr00
2005,35,KAN,QB,16,16,0,0,0,0,0,0,8,1,-10,0,0.0,0,0,0,0,,0,PB,Trent Green,GreeTr00
2006,36,KAN,QB,8,8,0,0,0,0,0,0,5,0,-8,0,0.0,0,0,0,0,0,0,,Trent Green,GreeTr00
2007,37,MIA,QB,5,5,0,0,0,0,0,0,2,1,-15,0,0.0,,,,,,0,,Trent Green,GreeTr00
