Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YBC/A,Rush_YAC,Rush_YAC/A,Rush_BrkTkl,Rush_BrkTkl/A,Tgt,Rec,Rec_Yds,Rec_1D,Rec_AirYds,Rec_AirYds/R,Rec_YAC,Rec_YAC/R,Rec_aDOT,Rec_BrkTkl,Rec_BrkTkl/R,Rec_Drops,Rec_Drop%,Rec_Int,Rec_PassRtg,awards,Player,PlayerID,Lg,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Yds.1,1D.1,YBC.1,YBC/R,YAC.1,YAC/R,ADOT,BrkTkl.1,Rec/Br,Drop,Drop%,Int,rec_pass_rating
2025,30,NOR,RB,11,11,,,,,,,,,,39,33,,,,,,,,,,,,,,,Alvin Kamara,KamaAl00,NFL,131.0,471.0,21.0,282.0,2.2,189.0,1.4,7.0,18.7,186.0,7.0,-16.0,-0.5,202.0,6.1,0.8,2.0,16.5,2.0,5.1,0.0,86.5
2025,22,LVR,RB,17,17,,,,,,,,,,73,55,,,,,,,,,,,,,,,Ashton Jeanty,JeanAs00,NFL,266.0,975.0,44.0,419.0,1.6,556.0,2.1,24.0,11.1,346.0,13.0,-106.0,-1.9,452.0,8.2,-1.5,8.0,6.9,4.0,5.5,2.0,96.0
2018,23,LAC,RB,14,3,106.0,554.0,25.0,206.0,1.9,348.0,3.3,9.0,11.8,53,39,404.0,18.0,-7.0,-0.2,411.0,10.5,0.8,7.0,5.6,2.0,3.8,0.0,114.0,,Austin Ekeler,EkelAu00,,,,,,,,,,,,,,,,,,,,,,,
2019,24,LAC,RB,16,8,132.0,557.0,32.0,233.0,1.8,324.0,2.5,12.0,11.0,108,92,993.0,42.0,53.0,0.6,940.0,10.2,1.3,15.0,6.1,1.0,0.9,2.0,122.0,,Austin Ekeler,EkelAu00,,,,,,,,,,,,,,,,,,,,,,,
2020,25,LAC,RB,10,10,116.0,530.0,26.0,273.0,2.4,257.0,2.2,13.0,8.9,65,54,403.0,20.0,-70.0,-1.3,473.0,8.8,-1.2,7.0,7.7,2.0,3.1,0.0,102.8,,Austin Ekeler,EkelAu00,,,,,,,,,,,,,,,,,,,,,,,
2021,26,LAC,RB,16,16,206.0,911.0,53.0,477.0,2.3,434.0,2.1,13.0,15.8,94,70,647.0,31.0,19.0,0.3,628.0,9.0,1.8,6.0,11.7,7.0,7.4,2.0,112.3,,Austin Ekeler,EkelAu00,,,,,,,,,,,,,,,,,,,,,,,
2022,27,LAC,RB,17,17,204.0,915.0,46.0,529.0,2.6,386.0,1.9,5.0,40.8,127,107,722.0,36.0,-121.0,-1.1,843.0,7.9,-0.8,11.0,9.7,9.0,7.1,0.0,103.5,AP OPoY-9,Austin Ekeler,EkelAu00,,,,,,,,,,,,,,,,,,,,,,,
2023,28,LAC,RB,14,14,179.0,628.0,34.0,328.0,1.8,300.0,1.7,9.0,19.9,74,51,436.0,20.0,-77.0,-1.5,513.0,10.1,-1.0,7.0,7.3,6.0,8.1,1.0,82.9,,Austin Ekeler,EkelAu00,,,,,,,,,,,,,,,,,,,,,,,
2024,29,WAS,RB,12,6,77.0,367.0,22.0,231.0,3.0,136.0,1.8,3.0,25.7,41,35,366.0,17.0,-58.0,-1.7,424.0,12.1,-1.4,4.0,8.8,2.0,4.9,0.0,103.9,AP-2,Austin Ekeler,EkelAu00,,,,,,,,,,,,,,,,,,,,,,,
2025,30,WAS,RB,2,2,14.0,43.0,3.0,23.0,1.6,20.0,1.4,0.0,,7,5,38.0,2.0,-11.0,-2.2,49.0,9.8,1.7,1.0,5.0,0.0,0.0,0.0,84.2,,Austin Ekeler,EkelAu00,,,,,,,,,,,,,,,,,,,,,,,
2023,21,ATL,RB,17,16,,,,,,,,,,86,58,,,,,,,,,,,,,,,Bijan Robinson,RobiBi01,NFL,214.0,976.0,50.0,568.0,2.7,408.0,1.9,15.0,14.3,487.0,24.0,-32.0,-0.6,519.0,8.9,0.3,10.0,5.8,6.0,7.0,3.0,82.8
2024,22,ATL,RB,17,17,,,,,,,,,,72,61,,,,,,,,,,,,,,,Bijan Robinson,RobiBi01,NFL,304.0,1456.0,82.0,728.0,2.4,728.0,2.4,23.0,13.2,431.0,20.0,-100.0,-1.6,531.0,8.7,-0.5,5.0,12.2,3.0,4.2,0.0,96.2
2025,23,ATL,RB,17,17,,,,,,,,,,103,79,,,,,,,,,,,,,,,Bijan Robinson,RobiBi01,NFL,287.0,1478.0,63.0,812.0,2.8,666.0,2.3,22.0,13.0,820.0,34.0,-37.0,-0.5,857.0,10.8,0.9,10.0,7.9,4.0,3.9,1.0,108.1
2022,21,NYJ,RB,7,2,80.0,463.0,20.0,332.0,4.2,131.0,1.6,3.0,26.7,31,19,218.0,8.0,47.0,2.5,171.0,9.0,4.7,2.0,9.5,5.0,16.1,1.0,79.8,,Breece Hall,HallBr03,,,,,,,,,,,,,,,,,,,,,,,
2023,22,NYJ,RB,17,16,223.0,994.0,40.0,500.0,2.2,494.0,2.2,19.0,11.7,95,76,591.0,28.0,-58.0,-0.8,649.0,8.5,-0.5,10.0,7.6,5.0,5.3,1.0,102.2,AP CPoY-7,Breece Hall,HallBr03,,,,,,,,,,,,,,,,,,,,,,,
2024,23,NYJ,RB,16,16,209.0,876.0,40.0,432.0,2.1,444.0,2.1,7.0,29.9,76,57,483.0,15.0,-13.0,-0.2,496.0,8.7,0.2,6.0,9.5,9.0,11.8,0.0,104.2,,Breece Hall,HallBr03,,,,,,,,,,,,,,,,,,,,,,,
2025,24,NYJ,RB,16,16,243.0,1065.0,57.0,618.0,2.5,447.0,1.8,12.0,20.3,48,36,350.0,13.0,29.0,0.8,321.0,8.9,0.4,1.0,36.0,2.0,4.2,0.0,101.9,,Breece Hall,HallBr03,,,,,,,,,,,,,,,,,,,,,,,
2023,23,CIN,RB,12,0,44.0,179.0,6.0,52.0,1.2,127.0,2.9,2.0,22.0,15,14,156.0,4.0,-38.0,-2.7,194.0,13.9,-3.0,2.0,7.0,0.0,0.0,0.0,132.2,,Chase Brown,BrowCh10,,,,,,,,,,,,,,,,,,,,,,,
2024,24,CIN,RB,16,10,229.0,990.0,49.0,599.0,2.6,391.0,1.7,23.0,10.0,65,54,360.0,23.0,34.0,0.6,326.0,6.0,0.8,2.0,27.0,2.0,3.1,0.0,110.3,,Chase Brown,BrowCh10,,,,,,,,,,,,,,,,,,,,,,,
2025,25,CIN,RB,17,17,232.0,1019.0,52.0,525.0,2.3,494.0,2.1,16.0,14.5,88,69,437.0,18.0,-13.0,-0.2,450.0,6.5,0.5,8.0,8.6,5.0,5.7,2.0,96.8,,Chase Brown,BrowCh10,,,,,,,,,,,,,,,,,,,,,,,
2018,22,CAR,RB,16,16,,,,,,,,,,124,107,,,,,,,,,,,,,,,Christian McCaffrey,McCaCh01,NFL,219.0,1098.0,53.0,633.0,2.9,465.0,2.1,15.0,14.6,867.0,41.0,12.0,0.1,855.0,8.0,0.7,7.0,15.3,1.0,0.8,0.0,111.9
2019,23,CAR,RB,16,16,,,,,,,,,,142,116,,,,,,,,,,,,,,,Christian McCaffrey,McCaCh01,NFL,287.0,1387.0,57.0,874.0,3.0,513.0,1.8,16.0,17.9,1005.0,58.0,-14.0,-0.1,1019.0,8.8,0.6,14.0,8.3,7.0,4.9,2.0,99.7
2020,24,CAR,RB,3,3,,,,,,,,,,19,17,,,,,,,,,,,,,,,Christian McCaffrey,McCaCh01,NFL,59.0,225.0,14.0,97.0,1.6,128.0,2.2,9.0,6.6,149.0,8.0,26.0,1.5,123.0,7.2,1.4,3.0,5.7,0.0,0.0,1.0,95.0
2021,25,CAR,RB,7,7,,,,,,,,,,41,37,,,,,,,,,,,,,,,Christian McCaffrey,McCaCh01,NFL,99.0,442.0,20.0,218.0,2.2,224.0,2.3,12.0,8.3,343.0,21.0,85.0,2.3,258.0,7.0,2.2,6.0,6.2,0.0,0.0,0.0,109.7
2022,26,2TM,RB,17,16,,,,,,,,,,108,85,,,,,,,,,,,,,,,Christian McCaffrey,McCaCh01,NFL,244.0,1139.0,65.0,683.0,2.8,456.0,1.9,10.0,24.4,741.0,36.0,46.0,0.5,695.0,8.2,1.2,8.0,10.6,6.0,5.6,1.0,106.8
2023,27,SFO,RB,16,16,,,,,,,,,,83,67,,,,,,,,,,,,,,,Christian McCaffrey,McCaCh01,NFL,272.0,1459.0,87.0,853.0,3.1,606.0,2.2,15.0,18.1,564.0,34.0,103.0,1.5,461.0,6.9,1.8,2.0,33.5,0.0,0.0,2.0,113.1
2024,28,SFO,RB,4,4,,,,,,,,,,19,15,,,,,,,,,,,,,,,Christian McCaffrey,McCaCh01,NFL,50.0,202.0,12.0,116.0,2.3,86.0,1.7,3.0,16.7,146.0,6.0,48.0,3.2,98.0,6.5,3.2,1.0,15.0,0.0,0.0,1.0,76.8
