Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YBC/A,Rush_YAC,Rush_YAC/A,Rush_BrkTkl,Rush_BrkTkl/A,Tgt,Rec,Rec_Yds,Rec_1D,Rec_AirYds,Rec_AirYds/R,Rec_YAC,Rec_YAC/R,Rec_aDOT,Rec_BrkTkl,Rec_BrkTkl/R,Rec_Drops,Rec_Drop%,Rec_Int,Rec_PassRtg,awards,Player,PlayerID,Lg,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Yds.1,1D.1,YBC.1,YBC/R,YAC.1,YAC/R,ADOT,BrkTkl.1,Rec/Br,Drop,Drop%,Int,rec_pass_rating
2021,24,BUF,RB,17,16,188.0,870.0,55.0,429.0,2.3,441.0,2.3,13.0,14.5,50,40,228.0,14.0,-13.0,-0.3,241.0,6.0,0.2,4.0,10.0,5.0,10.0,1.0,84.0,,Devin Singletary,SingDe00,,,,,,,,,,,,,,,,,,,,,,,
2022,25,BUF,RB,16,16,177.0,819.0,43.0,546.0,3.1,273.0,1.5,9.0,19.7,52,38,280.0,15.0,23.0,0.6,257.0,6.8,0.2,2.0,19.0,6.0,11.5,0.0,91.8,,Devin Singletary,SingDe00,,,,,,,,,,,,,,,,,,,,,,,
2023,26,HOU,RB,17,10,216.0,898.0,44.0,550.0,2.5,348.0,1.6,10.0,21.6,38,30,193.0,7.0,-24.0,-0.8,217.0,7.2,0.3,2.0,15.0,2.0,5.3,0.0,87.8,,Devin Singletary,SingDe00,,,,,,,,,,,,,,,,,,,,,,,
2024,27,NYG,RB,15,5,113.0,437.0,24.0,206.0,1.8,231.0,2.0,10.0,11.3,24,21,119.0,4.0,-59.0,-2.8,178.0,8.5,-2.8,1.0,21.0,1.0,4.2,2.0,52.6,,Devin Singletary,SingDe00,,,,,,,,,,,,,,,,,,,,,,,
2025,28,NYG,RB,17,1,119.0,437.0,27.0,219.0,1.8,218.0,1.8,4.0,29.8,19,18,151.0,4.0,-11.0,-0.6,162.0,9.0,-0.6,4.0,4.5,1.0,5.3,0.0,99.8,,Devin Singletary,SingDe00,,,,,,,,,,,,,,,,,,,,,,,
2018,26,ATL,RB,2,2,14.0,68.0,2.0,51.0,3.6,17.0,1.2,0.0,,7,5,23.0,0.0,3.0,0.6,20.0,4.0,0.1,1.0,5.0,1.0,14.3,0.0,75.3,,Devonta Freeman,FreeDe00,,,,,,,,,,,,,,,,,,,,,,,
2019,27,ATL,RB,14,14,184.0,656.0,31.0,363.0,2.0,293.0,1.6,11.0,16.7,70,59,410.0,17.0,66.0,1.1,344.0,5.8,1.1,0.0,,1.0,1.4,1.0,104.2,,Devonta Freeman,FreeDe00,,,,,,,,,,,,,,,,,,,,,,,
2020,28,NYG,RB,5,4,54.0,172.0,9.0,104.0,1.9,68.0,1.3,2.0,27.0,10,7,58.0,3.0,-12.0,-1.7,70.0,10.0,-1.4,0.0,,2.0,20.0,0.0,84.6,,Devonta Freeman,FreeDe00,,,,,,,,,,,,,,,,,,,,,,,
2021,29,BAL,RB,16,8,133.0,576.0,31.0,371.0,2.8,205.0,1.5,3.0,44.3,42,34,190.0,9.0,12.0,0.4,178.0,5.2,1.0,4.0,8.5,1.0,2.4,0.0,93.5,,Devonta Freeman,FreeDe00,,,,,,,,,,,,,,,,,,,,,,,
2018,23,DAL,RB,15,15,304.0,1434.0,74.0,839.0,2.8,595.0,2.0,19.0,16.0,95,77,567.0,22.0,-9.0,-0.1,576.0,7.5,0.3,3.0,25.7,2.0,2.1,0.0,102.1,"PB,AP-2",Ezekiel Elliott,ElliEz00,,,,,,,,,,,,,,,,,,,,,,,
2019,24,DAL,RB,16,16,301.0,1357.0,78.0,678.0,2.3,679.0,2.3,24.0,12.5,71,54,420.0,21.0,25.0,0.5,395.0,7.3,0.6,6.0,9.0,4.0,5.6,0.0,99.5,PB,Ezekiel Elliott,ElliEz00,,,,,,,,,,,,,,,,,,,,,,,
2020,25,DAL,RB,15,15,244.0,979.0,62.0,458.0,1.9,521.0,2.1,15.0,16.3,71,52,338.0,20.0,-22.0,-0.4,360.0,6.9,-0.2,2.0,26.0,8.0,11.3,3.0,74.7,,Ezekiel Elliott,ElliEz00,,,,,,,,,,,,,,,,,,,,,,,
2021,26,DAL,RB,17,17,237.0,1002.0,59.0,593.0,2.5,409.0,1.7,9.0,26.3,65,47,287.0,17.0,9.0,0.2,278.0,5.9,0.5,3.0,15.7,3.0,4.6,1.0,84.6,,Ezekiel Elliott,ElliEz00,,,,,,,,,,,,,,,,,,,,,,,
2022,27,DAL,RB,15,14,231.0,876.0,55.0,520.0,2.3,356.0,1.5,9.0,25.7,23,17,92.0,4.0,4.0,0.2,88.0,5.2,0.0,1.0,17.0,2.0,8.7,0.0,80.3,,Ezekiel Elliott,ElliEz00,,,,,,,,,,,,,,,,,,,,,,,
2023,28,NWE,RB,17,5,184.0,642.0,33.0,350.0,1.9,292.0,1.6,5.0,36.8,65,51,313.0,12.0,-61.0,-1.2,374.0,7.3,-0.6,8.0,6.4,2.0,3.1,0.0,97.0,,Ezekiel Elliott,ElliEz00,,,,,,,,,,,,,,,,,,,,,,,
2024,29,DAL,RB,15,2,74.0,226.0,14.0,115.0,1.6,111.0,1.5,2.0,37.0,15,12,69.0,3.0,-28.0,-2.3,97.0,8.1,-1.8,1.0,12.0,0.0,0.0,0.0,85.8,,Ezekiel Elliott,ElliEz00,,,,,,,,,,,,,,,,,,,,,,,
2018,35,MIA,RB,14,14,156.0,722.0,25.0,353.0,2.3,369.0,2.4,11.0,14.2,16,12,124.0,8.0,9.0,0.8,115.0,9.6,1.3,5.0,2.4,0.0,0.0,0.0,117.7,,Frank Gore,GoreFr00,,,,,,,,,,,,,,,,,,,,,,,
2019,36,BUF,RB,16,8,166.0,599.0,30.0,260.0,1.6,339.0,2.0,10.0,16.6,16,13,100.0,5.0,12.0,0.9,88.0,6.8,0.9,1.0,13.0,1.0,6.3,0.0,92.7,,Frank Gore,GoreFr00,,,,,,,,,,,,,,,,,,,,,,,
2020,37,NYJ,RB,15,14,187.0,653.0,32.0,279.0,1.5,374.0,2.0,8.0,23.4,19,16,89.0,3.0,16.0,1.0,73.0,4.6,1.8,1.0,16.0,0.0,0.0,0.0,86.2,,Frank Gore,GoreFr00,,,,,,,,,,,,,,,,,,,,,,,
2020,22,BAL,RB,15,1,134.0,805.0,38.0,411.0,3.1,394.0,2.9,7.0,19.1,24,18,120.0,4.0,-9.0,-0.5,129.0,7.2,0.0,2.0,9.0,4.0,16.7,0.0,85.4,,J.K. Dobbins,DobbJK00,,,,,,,,,,,,,,,,,,,,,,,
2022,24,BAL,RB,8,8,92.0,520.0,29.0,319.0,3.5,201.0,2.2,9.0,10.2,8,7,42.0,6.0,3.0,0.4,39.0,5.6,0.5,1.0,7.0,0.0,0.0,0.0,128.1,,J.K. Dobbins,DobbJK00,,,,,,,,,,,,,,,,,,,,,,,
2023,25,BAL,RB,1,1,8.0,22.0,1.0,18.0,2.3,4.0,0.5,0.0,,3,2,15.0,0.0,0.0,0.0,15.0,7.5,1.0,1.0,2.0,0.0,0.0,0.0,78.5,,J.K. Dobbins,DobbJK00,,,,,,,,,,,,,,,,,,,,,,,
2024,26,LAC,RB,13,11,195.0,905.0,49.0,416.0,2.1,489.0,2.5,24.0,8.1,38,32,153.0,6.0,-51.0,-1.6,204.0,6.4,-1.2,1.0,32.0,2.0,5.3,0.0,83.4,AP CPoY-2,J.K. Dobbins,DobbJK00,,,,,,,,,,,,,,,,,,,,,,,
2025,27,DEN,RB,10,9,153.0,772.0,37.0,398.0,2.6,374.0,2.4,9.0,17.0,14,11,37.0,0.0,-19.0,-1.7,56.0,5.1,-2.1,0.0,,1.0,7.1,0.0,79.2,,J.K. Dobbins,DobbJK00,,,,,,,,,,,,,,,,,,,,,,,
2023,21,DET,RB,15,3,182.0,945.0,46.0,487.0,2.7,458.0,2.5,21.0,8.7,71,52,316.0,24.0,2.0,0.0,314.0,6.0,0.1,7.0,7.4,8.0,11.3,1.0,80.5,"PB,AP ORoY-4",Jahmyr Gibbs,GibbJa01,,,,,,,,,,,,,,,,,,,,,,,
2024,22,DET,RB,17,4,250.0,1412.0,76.0,813.0,3.3,599.0,2.4,21.0,11.9,63,52,517.0,30.0,-76.0,-1.5,593.0,11.4,-0.2,4.0,13.0,2.0,3.2,1.0,115.4,"PB,AP OPoY-8",Jahmyr Gibbs,GibbJa01,,,,,,,,,,,,,,,,,,,,,,,
2025,23,DET,RB,17,17,243.0,1223.0,56.0,819.0,3.4,404.0,1.7,18.0,13.5,94,77,616.0,28.0,1.0,0.0,615.0,8.0,0.6,7.0,11.0,4.0,4.3,0.0,111.7,PB,Jahmyr Gibbs,GibbJa01,,,,,,,,,,,,,,,,,,,,,,,
2018,32,JAX,RB,2,0,6.0,7.0,0.0,3.0,0.5,4.0,0.7,1.0,6.0,3,2,7.0,0.0,2.0,1.0,5.0,2.5,1.3,0.0,,1.0,33.3,0.0,70.1,,Jamaal Charles,CharJa00,,,,,,,,,,,,,,,,,,,,,,,
2018,23,PIT,RB,13,12,,,,,,,,,,71,55,,,,,,,,,,,,,,,James Conner,ConnJa00,NFL,215.0,973.0,56.0,522.0,2.4,451.0,2.1,20.0,10.8,497.0,20.0,-51.0,-0.9,548.0,10.0,-0.3,5.0,11.0,4.0,5.6,0.0,100.5
2019,24,PIT,RB,10,10,,,,,,,,,,38,34,,,,,,,,,,,,,,,James Conner,ConnJa00,NFL,116.0,464.0,26.0,199.0,1.7,265.0,2.3,5.0,23.2,251.0,14.0,-47.0,-1.4,298.0,8.8,-1.4,8.0,4.3,1.0,2.6,0.0,120.5
2020,25,PIT,RB,13,11,,,,,,,,,,43,35,,,,,,,,,,,,,,,James Conner,ConnJa00,NFL,169.0,721.0,42.0,385.0,2.3,336.0,2.0,17.0,9.9,215.0,10.0,-15.0,-0.4,230.0,6.6,-0.1,3.0,11.7,4.0,9.3,0.0,87.5
2021,26,ARI,RB,15,6,,,,,,,,,,39,37,,,,,,,,,,,,,,,James Conner,ConnJa00,NFL,202.0,752.0,53.0,331.0,1.6,421.0,2.1,19.0,10.6,375.0,18.0,2.0,0.1,373.0,10.1,0.3,6.0,6.2,0.0,0.0,0.0,132.4
2022,27,ARI,RB,13,13,,,,,,,,,,58,46,,,,,,,,,,,,,,,James Conner,ConnJa00,NFL,183.0,782.0,48.0,444.0,2.4,338.0,1.8,5.0,36.6,300.0,13.0,-76.0,-1.7,376.0,8.2,-0.8,6.0,7.7,7.0,12.1,1.0,86.8
2023,28,ARI,RB,13,13,,,,,,,,,,33,27,,,,,,,,,,,,,,,James Conner,ConnJa00,NFL,208.0,1040.0,57.0,581.0,2.8,459.0,2.2,27.0,7.7,165.0,11.0,-46.0,-1.7,211.0,7.8,-0.4,5.0,5.4,0.0,0.0,0.0,107.7
2024,29,ARI,RB,16,16,,,,,,,,,,55,47,,,,,,,,,,,,,,,James Conner,ConnJa00,NFL,236.0,1094.0,67.0,528.0,2.2,566.0,2.4,24.0,9.8,414.0,17.0,-69.0,-1.5,483.0,10.3,-1.6,12.0,3.9,2.0,3.6,2.0,88.9
2025,30,ARI,RB,3,3,,,,,,,,,,9,8,,,,,,,,,,,,,,,James Conner,ConnJa00,NFL,32.0,95.0,7.0,39.0,1.2,56.0,1.8,3.0,10.7,38.0,4.0,-30.0,-3.8,68.0,8.5,-1.0,3.0,2.7,0.0,0.0,0.0,121.3
2022,23,BUF,RB,16,0,,,,,,,,,,32,21,,,,,,,,,,,,,,,James Cook,CookJa01,NFL,89.0,507.0,25.0,329.0,3.7,178.0,2.0,3.0,29.7,180.0,5.0,48.0,2.3,132.0,6.3,2.4,0.0,,3.0,9.4,1.0,77.6
2023,24,BUF,RB,17,13,,,,,,,,,,54,44,,,,,,,,,,,,,,,James Cook,CookJa01,NFL,237.0,1122.0,57.0,640.0,2.7,482.0,2.0,8.0,29.6,445.0,16.0,47.0,1.1,398.0,9.0,2.5,7.0,6.3,6.0,11.1,0.0,125.7
2024,25,BUF,RB,16,16,,,,,,,,,,38,32,,,,,,,,,,,,,,,James Cook,CookJa01,NFL,207.0,1009.0,63.0,530.0,2.6,479.0,2.3,14.0,14.8,258.0,16.0,-2.0,-0.1,260.0,8.1,0.9,0.0,,2.0,5.3,0.0,112.5
2025,26,BUF,RB,17,17,,,,,,,,,,40,33,,,,,,,,,,,,,,,James Cook,CookJa01,NFL,309.0,1621.0,68.0,935.0,3.0,686.0,2.2,21.0,14.7,291.0,11.0,19.0,0.6,272.0,8.2,1.3,3.0,11.0,3.0,7.5,0.0,113.6
2021,21,DEN,RB,17,1,203.0,903.0,52.0,443.0,2.2,460.0,2.3,31.0,6.5,53,43,316.0,12.0,-27.0,-0.6,343.0,8.0,-0.2,2.0,21.5,3.0,5.7,0.0,110.4,,Javonte Williams,WillJa10,,,,,,,,,,,,,,,,,,,,,,,
2022,22,DEN,RB,4,4,47.0,204.0,9.0,94.0,2.0,110.0,2.3,6.0,7.8,22,16,76.0,4.0,-42.0,-2.6,118.0,7.4,-1.1,2.0,8.0,1.0,4.5,0.0,77.1,,Javonte Williams,WillJa10,,,,,,,,,,,,,,,,,,,,,,,
2023,23,DEN,RB,16,13,217.0,774.0,41.0,402.0,1.9,372.0,1.7,11.0,19.7,58,47,228.0,10.0,-75.0,-1.6,303.0,6.4,-1.7,6.0,7.8,4.0,6.9,0.0,94.5,,Javonte Williams,WillJa10,,,,,,,,,,,,,,,,,,,,,,,
2024,24,DEN,RB,17,11,139.0,513.0,30.0,258.0,1.9,255.0,1.8,4.0,34.8,70,52,346.0,14.0,-49.0,-0.9,395.0,7.6,-0.3,4.0,13.0,7.0,10.0,0.0,84.6,,Javonte Williams,WillJa10,,,,,,,,,,,,,,,,,,,,,,,
2025,25,DAL,RB,16,16,252.0,1201.0,67.0,574.0,2.3,627.0,2.5,25.0,10.1,51,35,137.0,7.0,-69.0,-2.0,206.0,5.9,-1.3,0.0,,0.0,0.0,0.0,84.8,,Javonte Williams,WillJa10,,,,,,,,,,,,,,,,,,,,,,,
2022,24,PIT,RB,16,0,77.0,379.0,20.0,242.0,3.1,137.0,1.8,5.0,15.4,33,28,214.0,14.0,-11.0,-0.4,225.0,8.0,-0.5,3.0,9.3,3.0,9.1,0.0,93.7,,Jaylen Warren,WarrJa01,,,,,,,,,,,,,,,,,,,,,,,
2023,25,PIT,RB,17,0,149.0,784.0,38.0,427.0,2.9,357.0,2.4,27.0,5.5,74,61,370.0,20.0,-112.0,-1.8,482.0,7.9,-1.6,7.0,8.7,5.0,6.8,0.0,87.5,,Jaylen Warren,WarrJa01,,,,,,,,,,,,,,,,,,,,,,,
2024,26,PIT,RB,15,0,120.0,511.0,29.0,279.0,2.3,232.0,1.9,10.0,12.0,47,38,310.0,17.0,-5.0,-0.1,315.0,8.3,-0.1,5.0,7.6,1.0,2.1,0.0,94.1,,Jaylen Warren,WarrJa01,,,,,,,,,,,,,,,,,,,,,,,
2025,27,PIT,RB,16,15,211.0,958.0,52.0,461.0,2.2,497.0,2.4,23.0,9.2,45,40,333.0,13.0,-106.0,-2.7,439.0,11.0,-2.4,9.0,4.4,1.0,2.2,0.0,112.3,,Jaylen Warren,WarrJa01,,,,,,,,,,,,,,,,,,,,,,,
2018,22,CIN,RB,14,13,,,,,,,,,,55,43,,,,,,,,,,,,,,,Joe Mixon,MixoJo00,NFL,237.0,1168.0,60.0,634.0,2.7,534.0,2.3,6.0,39.5,296.0,14.0,-37.0,-0.9,333.0,7.7,0.1,2.0,21.5,2.0,3.6,1.0,87.6
2019,23,CIN,RB,16,15,,,,,,,,,,45,35,,,,,,,,,,,,,,,Joe Mixon,MixoJo00,NFL,278.0,1137.0,56.0,492.0,1.8,645.0,2.3,24.0,11.6,287.0,14.0,-44.0,-1.3,331.0,9.5,-0.3,4.0,8.8,1.0,2.2,0.0,115.5
2020,24,CIN,RB,6,6,,,,,,,,,,26,21,,,,,,,,,,,,,,,Joe Mixon,MixoJo00,NFL,119.0,428.0,20.0,226.0,1.9,202.0,1.7,3.0,39.7,138.0,5.0,-29.0,-1.4,167.0,8.0,-1.0,2.0,10.5,1.0,3.8,0.0,101.6
2021,25,CIN,RB,16,16,,,,,,,,,,48,42,,,,,,,,,,,,,,,Joe Mixon,MixoJo00,NFL,292.0,1205.0,60.0,662.0,2.3,543.0,1.9,20.0,14.6,314.0,11.0,-4.0,-0.1,318.0,7.6,-0.2,3.0,14.0,2.0,4.2,0.0,114.8
2022,26,CIN,RB,14,14,,,,,,,,,,75,60,,,,,,,,,,,,,,,Joe Mixon,MixoJo00,NFL,210.0,814.0,47.0,505.0,2.4,309.0,1.5,8.0,26.3,441.0,17.0,-27.0,-0.5,468.0,7.8,-0.2,6.0,10.0,3.0,4.0,0.0,100.1
2023,27,CIN,RB,17,17,,,,,,,,,,64,52,,,,,,,,,,,,,,,Joe Mixon,MixoJo00,NFL,257.0,1034.0,59.0,671.0,2.6,363.0,1.4,10.0,25.7,376.0,14.0,-87.0,-1.7,463.0,8.9,-1.8,7.0,7.4,4.0,6.3,1.0,100.3
2024,28,HOU,RB,14,14,,,,,,,,,,52,36,,,,,,,,,,,,,,,Joe Mixon,MixoJo00,NFL,245.0,1016.0,52.0,549.0,2.2,467.0,1.9,19.0,12.9,309.0,12.0,-51.0,-1.4,360.0,10.0,-0.5,6.0,6.0,4.0,7.7,0.0,90.9
2020,21,IND,RB,15,13,232.0,1169.0,69.0,690.0,3.0,479.0,2.1,15.0,15.5,39,36,299.0,12.0,-68.0,-1.9,367.0,10.2,-1.3,3.0,12.0,1.0,2.6,0.0,107.2,,Jonathan Taylor,TaylJo02,,,,,,,,,,,,,,,,,,,,,,,
2021,22,IND,RB,17,17,332.0,1811.0,107.0,870.0,2.6,941.0,2.8,25.0,13.3,51,40,360.0,12.0,-46.0,-1.2,406.0,10.2,-0.9,2.0,20.0,5.0,9.8,0.0,109.2,"PB,AP-1,AP OPoY-2",Jonathan Taylor,TaylJo02,,,,,,,,,,,,,,,,,,,,,,,
2022,23,IND,RB,11,11,192.0,861.0,39.0,481.0,2.5,380.0,2.0,24.0,8.0,40,28,143.0,4.0,-61.0,-2.2,204.0,7.3,-1.7,3.0,9.3,1.0,2.5,1.0,64.9,,Jonathan Taylor,TaylJo02,,,,,,,,,,,,,,,,,,,,,,,
2023,24,IND,RB,10,7,169.0,741.0,42.0,287.0,1.7,454.0,2.7,14.0,12.1,23,19,153.0,5.0,-21.0,-1.1,174.0,9.2,-0.9,5.0,3.8,2.0,8.7,0.0,108.9,,Jonathan Taylor,TaylJo02,,,,,,,,,,,,,,,,,,,,,,,
2024,25,IND,RB,14,13,303.0,1431.0,71.0,859.0,2.8,572.0,1.9,15.0,20.2,31,18,136.0,7.0,-14.0,-0.8,150.0,8.3,-0.3,2.0,9.0,3.0,9.7,1.0,66.1,"PB,AP CPoY-19",Jonathan Taylor,TaylJo02,,,,,,,,,,,,,,,,,,,,,,,
2025,26,IND,RB,17,17,323.0,1585.0,84.0,798.0,2.5,787.0,2.4,27.0,12.0,55,46,378.0,15.0,-56.0,-1.2,434.0,9.4,-0.9,8.0,5.8,4.0,7.3,0.0,107.4,PB,Jonathan Taylor,TaylJo02,,,,,,,,,,,,,,,,,,,,,,,
2022,23,SFO,RB,16,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,Jordan Mason,MasoJo00,NFL,43.0,258.0,10.0,123.0,2.9,135.0,3.1,3.0,14.3,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,0.0,
2023,24,SFO,RB,17,0,,,,,,,,,,4,3,,,,,,,,,,,,,,,Jordan Mason,MasoJo00,NFL,40.0,206.0,13.0,110.0,2.8,96.0,2.4,3.0,13.3,31.0,1.0,8.0,2.7,23.0,7.7,3.0,1.0,3.0,0.0,0.0,0.0,96.9
2024,25,SFO,RB,12,6,,,,,,,,,,14,11,,,,,,,,,,,,,,,Jordan Mason,MasoJo00,NFL,153.0,789.0,37.0,441.0,2.9,348.0,2.3,13.0,11.8,91.0,5.0,32.0,2.9,59.0,5.4,3.7,1.0,11.0,0.0,0.0,0.0,93.7
2025,26,MIN,RB,16,5,,,,,,,,,,16,14,,,,,,,,,,,,,,,Jordan Mason,MasoJo00,NFL,159.0,758.0,45.0,373.0,2.3,385.0,2.4,13.0,12.2,51.0,1.0,-51.0,-3.6,102.0,7.3,-3.3,1.0,14.0,0.0,0.0,0.0,79.9
2019,21,OAK,RB,13,13,242.0,1150.0,53.0,467.0,1.9,683.0,2.8,26.0,9.3,27,20,166.0,8.0,-17.0,-0.9,183.0,9.2,-1.3,4.0,5.0,3.0,11.1,0.0,89.4,AP ORoY-2,Josh Jacobs,JacoJo01,,,,,,,,,,,,,,,,,,,,,,,
2020,22,LVR,RB,15,15,273.0,1065.0,61.0,525.0,1.9,540.0,2.0,20.0,13.7,45,33,238.0,9.0,0.0,0.0,238.0,7.2,0.7,4.0,8.3,2.0,4.4,0.0,85.2,PB,Josh Jacobs,JacoJo01,,,,,,,,,,,,,,,,,,,,,,,
2021,23,LVR,RB,15,14,217.0,872.0,48.0,430.0,2.0,442.0,2.0,20.0,10.9,64,54,348.0,16.0,-43.0,-0.8,391.0,7.2,-0.4,9.0,6.0,5.0,7.8,1.0,82.8,,Josh Jacobs,JacoJo01,,,,,,,,,,,,,,,,,,,,,,,
2022,24,LVR,RB,17,17,340.0,1653.0,93.0,832.0,2.4,821.0,2.4,31.0,11.0,64,53,400.0,16.0,26.0,0.5,374.0,7.1,0.5,2.0,26.5,4.0,6.3,0.0,92.7,"PB,AP-1,AP OPoY-5",Josh Jacobs,JacoJo01,,,,,,,,,,,,,,,,,,,,,,,
2023,25,LVR,RB,13,13,233.0,805.0,34.0,451.0,1.9,354.0,1.5,10.0,23.3,54,37,296.0,15.0,3.0,0.1,293.0,7.9,0.7,3.0,12.3,5.0,9.3,2.0,66.6,,Josh Jacobs,JacoJo01,,,,,,,,,,,,,,,,,,,,,,,
2024,26,GNB,RB,17,17,301.0,1329.0,75.0,592.0,2.0,737.0,2.4,35.0,8.6,43,36,342.0,18.0,-61.0,-1.7,403.0,11.2,-1.0,13.0,2.8,0.0,0.0,1.0,97.9,"PB,AP OPoY-11",Josh Jacobs,JacoJo01,,,,,,,,,,,,,,,,,,,,,,,
2025,27,GNB,RB,15,15,234.0,929.0,55.0,459.0,2.0,470.0,2.0,16.0,14.6,44,36,282.0,8.0,-22.0,-0.6,304.0,8.4,-0.9,5.0,7.2,1.0,2.3,0.0,100.9,,Josh Jacobs,JacoJo01,,,,,,,,,,,,,,,,,,,,,,,
2018,23,KAN,RB,11,11,181.0,824.0,46.0,387.0,2.1,437.0,2.4,18.0,10.1,35,26,378.0,16.0,40.0,1.5,338.0,13.0,1.9,8.0,3.3,3.0,8.6,0.0,148.6,,Kareem Hunt,HuntKa00,,,,,,,,,,,,,,,,,,,,,,,
2019,24,CLE,RB,8,3,43.0,179.0,8.0,65.0,1.5,114.0,2.7,4.0,10.8,44,37,285.0,17.0,9.0,0.2,276.0,7.5,0.8,4.0,9.3,2.0,4.5,0.0,101.2,,Kareem Hunt,HuntKa00,,,,,,,,,,,,,,,,,,,,,,,
2020,25,CLE,RB,16,5,198.0,841.0,44.0,376.0,1.9,465.0,2.3,18.0,11.0,51,38,304.0,19.0,24.0,0.6,280.0,7.4,1.4,5.0,7.6,4.0,7.8,0.0,121.7,,Kareem Hunt,HuntKa00,,,,,,,,,,,,,,,,,,,,,,,
2021,26,CLE,RB,8,1,78.0,386.0,22.0,165.0,2.1,221.0,2.8,9.0,8.7,27,22,174.0,10.0,2.0,0.1,172.0,7.8,0.1,0.0,,1.0,3.7,0.0,93.5,,Kareem Hunt,HuntKa00,,,,,,,,,,,,,,,,,,,,,,,
2022,27,CLE,RB,17,0,123.0,468.0,30.0,233.0,1.9,235.0,1.9,6.0,20.5,44,35,210.0,11.0,-33.0,-0.9,243.0,6.9,-0.5,7.0,5.0,4.0,9.1,0.0,94.1,,Kareem Hunt,HuntKa00,,,,,,,,,,,,,,,,,,,,,,,
2023,28,CLE,RB,15,2,135.0,411.0,40.0,236.0,1.7,175.0,1.3,2.0,67.5,21,15,84.0,6.0,-14.0,-0.9,98.0,6.5,-0.3,0.0,,1.0,4.8,0.0,78.3,,Kareem Hunt,HuntKa00,,,,,,,,,,,,,,,,,,,,,,,
2024,29,KAN,RB,13,8,200.0,728.0,50.0,399.0,2.0,329.0,1.6,7.0,28.6,32,23,176.0,10.0,-40.0,-1.7,216.0,9.4,-1.9,4.0,5.8,0.0,0.0,0.0,84.9,,Kareem Hunt,HuntKa00,,,,,,,,,,,,,,,,,,,,,,,
2025,30,KAN,RB,17,4,163.0,611.0,55.0,290.0,1.8,321.0,2.0,7.0,23.3,25,18,143.0,8.0,-10.0,-0.6,153.0,8.5,0.2,2.0,9.0,1.0,4.0,1.0,82.6,,Kareem Hunt,HuntKa00,,,,,,,,,,,,,,,,,,,,,,,
2022,22,SEA,RB,15,11,,,,,,,,,,35,27,,,,,,,,,,,,,,,Kenneth Walker III,WalkKe00,NFL,228.0,1050.0,51.0,623.0,2.7,427.0,1.9,12.0,19.0,165.0,6.0,-56.0,-2.1,221.0,8.2,-2.1,3.0,9.0,2.0,5.7,1.0,74.1
2023,23,SEA,RB,15,15,,,,,,,,,,37,29,,,,,,,,,,,,,,,Kenneth Walker III,WalkKe00,NFL,219.0,905.0,46.0,559.0,2.6,346.0,1.6,22.0,10.0,259.0,9.0,-58.0,-2.0,317.0,10.9,-2.1,9.0,3.2,2.0,5.4,0.0,104.8
2024,24,SEA,RB,11,11,,,,,,,,,,53,46,,,,,,,,,,,,,,,Kenneth Walker III,WalkKe00,NFL,153.0,573.0,28.0,263.0,1.7,310.0,2.0,13.0,11.8,299.0,19.0,-64.0,-1.4,363.0,7.9,-1.2,5.0,9.2,2.0,3.8,1.0,88.6
2025,25,SEA,RB,17,17,,,,,,,,,,36,31,,,,,,,,,,,,,,,Kenneth Walker III,WalkKe00,NFL,221.0,1027.0,46.0,621.0,2.8,406.0,1.8,23.0,9.6,282.0,12.0,-57.0,-1.8,339.0,10.9,-1.1,5.0,6.2,2.0,5.6,0.0,99.3
2025,23,CHI,RB,17,1,,,,,,,,,,30,18,,,,,,,,,,,,,,,Kyle Monangai,MonaKy00,NFL,169.0,783.0,40.0,459.0,2.7,324.0,1.9,5.0,33.8,164.0,7.0,2.0,0.1,162.0,9.0,-0.3,3.0,6.0,6.0,20.0,1.0,61.0
2022,22,LAR,RB,10,0,35.0,139.0,6.0,80.0,2.3,59.0,1.7,0.0,,12,9,76.0,5.0,-4.0,-0.4,80.0,8.9,1.4,1.0,9.0,0.0,0.0,1.0,56.2,,Kyren Williams,WillKy02,,,,,,,,,,,,,,,,,,,,,,,
2023,23,LAR,RB,12,11,228.0,1144.0,65.0,685.0,3.0,459.0,2.0,23.0,9.9,48,32,206.0,9.0,-71.0,-2.2,277.0,8.7,0.2,1.0,32.0,4.0,8.3,1.0,87.7,"PB,AP-2",Kyren Williams,WillKy02,,,,,,,,,,,,,,,,,,,,,,,
2024,24,LAR,RB,16,16,316.0,1299.0,92.0,693.0,2.2,606.0,1.9,27.0,11.7,40,34,182.0,7.0,-13.0,-0.4,195.0,5.7,-0.7,2.0,17.0,1.0,2.5,0.0,102.3,AP OPoY-11,Kyren Williams,WillKy02,,,,,,,,,,,,,,,,,,,,,,,
2025,25,LAR,RB,17,17,259.0,1252.0,74.0,737.0,2.8,515.0,2.0,22.0,11.8,50,36,281.0,12.0,126.0,3.5,155.0,4.3,2.7,1.0,36.0,2.0,4.0,0.0,105.5,,Kyren Williams,WillKy02,,,,,,,,,,,,,,,,,,,,,,,
