Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,rec_success,rec_long,R/G,Y/G.1,catch_pct,Y/Tgt,Touch,yds_per_touch,yds_from_scrimmage,rush_receive_td,Fmb,av,awards,Player,PlayerID
2023,24,PHI,NFL,RB,16,15,229,1049,5,50,54.1,43,4.6,65.6,14.3,49,39,214,5.5,1,8,42.9,20.0,2.4,13.4,79.6,4.4,268,4.7,1263,6,3,10.0,,D'Andre Swift,SwifDA00
2024,25,CHI,NFL,RB,17,17,253,959,6,43,43.9,56,3.8,56.4,14.9,52,42,386,9.2,0,12,51.9,42.0,2.5,22.7,80.8,7.4,295,4.6,1345,6,2,8.0,,D'Andre Swift,SwifDA00
2025,26,CHI,NFL,RB,16,16,223,1087,9,62,54.7,25,4.9,67.9,13.9,48,34,299,8.8,1,11,37.5,55.0,2.1,18.7,70.8,6.2,257,5.4,1386,10,2,10.0,,D'Andre Swift,SwifDA00
2023,22,MIA,NFL,RB,11,4,103,800,8,30,54.4,76,7.8,72.7,9.4,37,27,197,7.3,3,10,48.6,23.0,2.5,17.9,73.0,5.3,130,7.7,997,11,1,7.0,,De'Von Achane,AchaDe00
2024,23,MIA,NFL,RB,17,16,203,907,6,37,49.3,61,4.5,53.4,11.9,87,78,592,7.6,6,30,57.5,39.0,4.6,34.8,89.7,6.8,281,5.3,1499,12,1,11.0,,De'Von Achane,AchaDe00
2025,24,MIA,NFL,RB,16,16,238,1350,8,56,49.2,59,5.7,84.4,14.9,85,67,488,7.3,4,23,43.5,29.0,4.2,30.5,78.8,5.7,305,6.0,1838,12,1,14.0,,De'Von Achane,AchaDe00
2016,22,TEN,NFL,RB,15,2,110,490,5,29,54.5,22,4.5,32.7,7.3,15,13,137,10.5,0,5,46.7,29.0,0.9,9.1,86.7,9.1,123,5.1,627,5,0,4.0,,Derrick Henry,HenrDe00
2017,23,TEN,NFL,RB,16,2,176,744,5,40,45.5,75,4.2,46.5,11.0,17,11,136,12.4,1,4,41.2,66.0,0.7,8.5,64.7,8.0,187,4.7,880,6,1,6.0,,Derrick Henry,HenrDe00
2018,24,TEN,NFL,RB,16,12,215,1059,12,50,50.2,99,4.9,66.2,13.4,18,15,99,6.6,0,4,44.4,21.0,0.9,6.2,83.3,5.5,230,5.0,1158,12,1,7.0,,Derrick Henry,HenrDe00
2019,25,TEN,NFL,RB,15,15,303,1540,16,73,49.2,74,5.1,102.7,20.2,24,18,206,11.4,2,4,50.0,75.0,1.2,13.7,75.0,8.6,321,5.4,1746,18,5,13.0,,Derrick Henry,HenrDe00
2020,26,TEN,NFL,RB,16,16,378,2027,17,98,56.6,94,5.4,126.7,23.6,31,19,114,6.0,0,4,32.3,53.0,1.2,7.1,61.3,3.7,397,5.4,2141,17,3,16.0,,Derrick Henry,HenrDe00
2021,27,TEN,NFL,RB,8,8,219,937,10,54,44.7,76,4.3,117.1,27.4,20,18,154,8.6,0,7,80.0,16.0,2.3,19.3,90.0,7.7,237,4.6,1091,10,1,7.0,,Derrick Henry,HenrDe00
