Season,Age,Team,Pos,No.,G,GS,offense,Off%,defense,Def%,special_teams,ST%,Player,PlayerID,Off_Snaps,Def_Snaps,ST_Snaps
2019,23,CLE,TE,85.0,4,1,,40%,,0%,,0%,David Njoku,NjokDa00,99.0,0.0,0.0
2020,24,CLE,TE,85.0,13,5,,47%,,0%,,0%,David Njoku,NjokDa00,410.0,0.0,0.0
2021,25,CLE,TE,85.0,16,11,,64%,,0%,,0%,David Njoku,NjokDa00,670.0,0.0,0.0
2022,26,CLE,TE,85.0,14,14,,84%,,0%,,0%,David Njoku,NjokDa00,817.0,0.0,0.0
2024,28,CLE,TE,85.0,11,11,,75%,,0%,,0%,David Njoku,NjokDa00,589.0,0.0,0.0
2025,29,CLE,TE,85.0,12,11,,64%,,0%,,0%,David Njoku,NjokDa00,514.0,0.0,0.0
2017,23,NYG,TE,88.0,15,11,,77%,,0%,,27%,Evan Engram,EngrEv00,777.0,0.0,115.0
2018,24,NYG,TE,88.0,11,8,,67%,,0%,,2%,Evan Engram,EngrEv00,475.0,0.0,7.0
2019,25,NYG,TE,88.0,8,6,,80%,,0%,,1%,Evan Engram,EngrEv00,444.0,0.0,1.0
2021,27,NYG,TE,88.0,15,12,,74%,,0%,,0%,Evan Engram,EngrEv00,722.0,0.0,0.0
2022,28,JAX,TE,17.0,17,14,,77%,,0%,,0%,Evan Engram,EngrEv00,868.0,0.0,1.0
2024,30,JAX,TE,17.0,9,9,,72%,,0%,,1%,Evan Engram,EngrEv00,363.0,0.0,1.0
2025,31,DEN,TE,1.0,16,2,,42%,,0%,,0%,Evan Engram,EngrEv00,458.0,0.0,0.0
2019,22,OAK,TE,87.0,13,7,,46%,,0%,,59%,Foster Moreau,MoreFo00,371.0,0.0,205.0
2020,23,LVR,TE,87.0,16,2,,24%,,0%,,50%,Foster Moreau,MoreFo00,256.0,0.0,232.0
2021,24,LVR,TE,87.0,17,11,,66%,,0%,,55%,Foster Moreau,MoreFo00,748.0,0.0,260.0
2022,25,LVR,TE,87.0,15,14,,77%,,0%,,24%,Foster Moreau,MoreFo00,745.0,0.0,95.0
2023,26,NOR,TE,87.0,15,10,,53%,,0%,,36%,Foster Moreau,MoreFo00,549.0,0.0,149.0
2024,27,NOR,TE,87.0,17,17,,69%,,0%,,15%,Foster Moreau,MoreFo00,752.0,0.0,68.0
2025,28,NOR,TE,87.0,11,9,,35%,,0%,,18%,Foster Moreau,MoreFo00,253.0,0.0,46.0
2017,24,SFO,TE,85.0,15,7,592.0,,0.0,,6.0,,George Kittle,KittGe00,,,
2018*,25,SFO,TE,85.0,16,16,929.0,,0.0,,1.0,,George Kittle,KittGe00,,,
2019*+,26,SFO,TE,85.0,14,14,804.0,,0.0,,2.0,,George Kittle,KittGe00,,,
2020,27,SFO,TE,85.0,8,8,443.0,,0.0,,1.0,,George Kittle,KittGe00,,,
2021*,28,SFO,TE,85.0,14,14,840.0,,0.0,,5.0,,George Kittle,KittGe00,,,
2022*,29,SFO,TE,85.0,15,15,859.0,,0.0,,3.0,,George Kittle,KittGe00,,,
2023*+,30,SFO,TE,85.0,16,16,895.0,,0.0,,2.0,,George Kittle,KittGe00,,,
2024*,31,SFO,TE,85.0,15,15,808.0,,0.0,,0.0,,George Kittle,KittGe00,,,
2025*,32,SFO,TE,85.0,11,11,554.0,,0.0,,0.0,,George Kittle,KittGe00,,,
2022,22,DEN,TE,80.0,10,6,,75%,,0%,,0%,Greg Dulcich,DulcGr00,497.0,0.0,0.0
2023,23,DEN,TE,80.0,2,1,,28%,,0%,,0%,Greg Dulcich,DulcGr00,32.0,0.0,0.0
2024,24,2TM,,,9,3,,,,,,,Greg Dulcich,DulcGr00,147.0,0.0,20.0
2025,25,MIA,TE,85.0,10,3,,42%,,0%,,21%,Greg Dulcich,DulcGr00,245.0,0.0,52.0
2018,25,BAL,TE,81.0,12,0,,31%,,0%,,10%,Hayden Hurst,HursHa00,275.0,0.0,31.0
2019,26,BAL,TE,81.0,16,4,,41%,,0%,,10%,Hayden Hurst,HursHa00,457.0,0.0,45.0
2020,27,ATL,TE,81.0,16,9,,70%,,0%,,4%,Hayden Hurst,HursHa00,786.0,0.0,19.0
2021,28,ATL,TE,81.0,13,5,,50%,,0%,,3%,Hayden Hurst,HursHa00,410.0,0.0,9.0
2022,29,CIN,TE,88.0,13,13,,61%,,0%,,17%,Hayden Hurst,HursHa00,545.0,0.0,61.0
2023,30,CAR,TE,81.0,9,8,,51%,,0%,,10%,Hayden Hurst,HursHa00,318.0,0.0,25.0
2024,31,LAC,TE,88.0,9,2,,31%,,0%,,0%,Hayden Hurst,HursHa00,174.0,0.0,0.0
2016,22,SDG,TE,86.0,15,10,,58%,,0%,,15%,Hunter Henry,HenrHu00,573.0,0.0,64.0
2017,23,LAC,TE,86.0,14,13,,65%,,0%,,6%,Hunter Henry,HenrHu00,598.0,0.0,23.0
2019,25,LAC,TE,86.0,12,12,,79%,,0%,,1%,Hunter Henry,HenrHu00,614.0,0.0,2.0
2020,26,LAC,TE,86.0,14,14,,87%,,0%,,4%,Hunter Henry,HenrHu00,913.0,0.0,15.0
2021,27,NWE,TE,85.0,17,10,,68%,,0%,,10%,Hunter Henry,HenrHu00,750.0,0.0,45.0
2022,28,NWE,TE,85.0,17,14,,76%,,0%,,5%,Hunter Henry,HenrHu00,797.0,0.0,24.0
2023,29,NWE,TE,85.0,14,10,,75%,,0%,,2%,Hunter Henry,HenrHu00,664.0,0.0,6.0
2024,30,NWE,TE,85.0,16,16,,81%,,0%,,0%,Hunter Henry,HenrHu00,835.0,0.0,0.0
2025,31,NWE,TE,85.0,17,17,,79%,,0%,,2%,Hunter Henry,HenrHu00,869.0,0.0,9.0
2018,22,CAR,TE,80.0,16,6,526.0,,0.0,,107.0,,Ian Thomas,ThomIa00,,,
2019,23,CAR,TE,80.0,16,3,302.0,,0.0,,39.0,,Ian Thomas,ThomIa00,,,
2020,24,CAR,TE,80.0,16,8,672.0,,0.0,,19.0,,Ian Thomas,ThomIa00,,,
2021,25,CAR,TE,80.0,17,13,703.0,,0.0,,48.0,,Ian Thomas,ThomIa00,,,
2022,26,CAR,TE,80.0,17,17,556.0,,0.0,,169.0,,Ian Thomas,ThomIa00,,,
2023,27,CAR,TE,80.0,12,5,216.0,,0.0,,105.0,,Ian Thomas,ThomIa00,,,
2024,28,CAR,TE,80.0,5,2,94.0,,0.0,,9.0,,Ian Thomas,ThomIa00,,,
2025,29,LVR,TE,80.0,15,10,318.0,,0.0,,96.0,,Ian Thomas,ThomIa00,,,
2017,22,TEN,TE,81.0,16,13,,54%,,0%,,21%,Jonnu Smith,SmitJo01,552.0,0.0,99.0
2018,23,TEN,TE,81.0,13,12,,75%,,0%,,13%,Jonnu Smith,SmitJo01,611.0,0.0,43.0
2019,24,TEN,TE,81.0,16,14,,71%,,0%,,15%,Jonnu Smith,SmitJo01,701.0,0.0,65.0
2020,25,TEN,TE,81.0,15,14,,74%,,0%,,3%,Jonnu Smith,SmitJo01,745.0,0.0,12.0
2021,26,NWE,TE,81.0,16,11,,51%,,0%,,2%,Jonnu Smith,SmitJo01,526.0,0.0,10.0
2022,27,NWE,TE,81.0,14,8,,49%,,0%,,14%,Jonnu Smith,SmitJo01,423.0,0.0,54.0
2023,28,ATL,TE,81.0,17,6,,58%,,0%,,0%,Jonnu Smith,SmitJo01,653.0,0.0,0.0
2025,30,PIT,TE,81.0,17,7,,52%,,0%,,1%,Jonnu Smith,SmitJo01,536.0,0.0,4.0
2021*,21,ATL,TE,8.0,17,15,774.0,,0.0,,0.0,,Kyle Pitts,PittKy00,,,
2022,22,ATL,TE,8.0,10,10,434.0,,0.0,,0.0,,Kyle Pitts,PittKy00,,,
2023,23,ATL,TE,8.0,17,15,728.0,,0.0,,0.0,,Kyle Pitts,PittKy00,,,
2024,24,ATL,TE,8.0,17,15,707.0,,0.0,,1.0,,Kyle Pitts,PittKy00,,,
2025,25,ATL,TE,8.0,17,17,961.0,,0.0,,2.0,,Kyle Pitts,PittKy00,,,
2018,23,BAL,TE,89.0,16,3,,35%,,0%,,18%,Mark Andrews,AndrMa00,414.0,0.0,81.0
2020,25,BAL,TE,89.0,14,2,,65%,,0%,,2%,Mark Andrews,AndrMa00,597.0,0.0,6.0
2023,28,BAL,TE,89.0,10,9,,70%,,0%,,1%,Mark Andrews,AndrMa00,467.0,0.0,4.0
2024,29,BAL,TE,89.0,17,13,,61%,,0%,,1%,Mark Andrews,AndrMa00,682.0,0.0,6.0
2025,30,BAL,TE,89.0,17,11,,62%,,0%,,0%,Mark Andrews,AndrMa00,631.0,0.0,0.0
2021,23,PIT,TE,88.0,16,9,,62%,,0%,,9%,Pat Freiermuth,FreiPa00,683.0,0.0,41.0
2022,24,PIT,TE,88.0,16,8,,68%,,0%,,3%,Pat Freiermuth,FreiPa00,743.0,0.0,13.0
2023,25,PIT,TE,88.0,12,9,,63%,,0%,,13%,Pat Freiermuth,FreiPa00,474.0,0.0,43.0
2024,26,PIT,TE,88.0,17,11,,69%,,0%,,18%,Pat Freiermuth,FreiPa00,776.0,0.0,81.0
2025,27,PIT,TE,88.0,17,8,,51%,,0%,,7%,Pat Freiermuth,FreiPa00,522.0,0.0,32.0
2023*,22,DET,TE,87.0,17,14,981.0,,0.0,,12.0,,Sam LaPorta,LaPoSa01,,,
2024,23,DET,TE,87.0,16,16,910.0,,0.0,,2.0,,Sam LaPorta,LaPoSa01,,,
2025,24,DET,TE,87.0,9,9,517.0,,0.0,,5.0,,Sam LaPorta,LaPoSa01,,,
2019,22,DET,TE,88.0,12,7,525.0,,0.0,,2.0,,T.J. Hockenson,HockTJ00,,,
2020*,23,DET,TE,88.0,16,16,766.0,,0.0,,1.0,,T.J. Hockenson,HockTJ00,,,
2021,24,DET,TE,88.0,12,12,658.0,,0.0,,0.0,,T.J. Hockenson,HockTJ00,,,
2022*,25,2TM,TE,,17,14,987.0,,0.0,,0.0,,T.J. Hockenson,HockTJ00,,,
2023,26,MIN,TE,87.0,15,11,790.0,,0.0,,0.0,,T.J. Hockenson,HockTJ00,,,
2024,27,MIN,TE,87.0,10,9,423.0,,0.0,,3.0,,T.J. Hockenson,HockTJ00,,,
2025,28,MIN,TE,87.0,15,15,691.0,,0.0,,1.0,,T.J. Hockenson,HockTJ00,,,
2013,24,KAN,TE,87.0,1,0,,0%,,0%,,4%,Travis Kelce,KelcTr00,0.0,0.0,1.0
2014,25,KAN,TE,87.0,16,11,,66%,,0%,,16%,Travis Kelce,KelcTr00,668.0,0.0,69.0
2023,23,GNB,TE,85.0,17,8,621.0,,0.0,,194.0,,Tucker Kraft,KrafTu00,,,
2024,24,GNB,TE,85.0,17,17,925.0,,0.0,,130.0,,Tucker Kraft,KrafTu00,,,
2025,25,GNB,TE,85.0,8,8,439.0,,0.0,,15.0,,Tucker Kraft,KrafTu00,,,
2016,23,LAR,TE,89.0,16,7,403.0,,0.0,,20.0,,Tyler Higbee,HigbTy00,,,
2017,24,LAR,TE,89.0,16,16,730.0,,0.0,,131.0,,Tyler Higbee,HigbTy00,,,
2018,25,LAR,TE,89.0,16,16,788.0,,0.0,,50.0,,Tyler Higbee,HigbTy00,,,
2019,26,LAR,TE,89.0,15,15,696.0,,0.0,,41.0,,Tyler Higbee,HigbTy00,,,
2020,27,LAR,TE,89.0,15,15,814.0,,0.0,,38.0,,Tyler Higbee,HigbTy00,,,
2021,28,LAR,TE,89.0,15,15,883.0,,0.0,,73.0,,Tyler Higbee,HigbTy00,,,
2022,29,LAR,TE,89.0,17,17,888.0,,0.0,,14.0,,Tyler Higbee,HigbTy00,,,
2023,30,LAR,TE,89.0,15,15,866.0,,0.0,,6.0,,Tyler Higbee,HigbTy00,,,
2024,31,LAR,TE,89.0,3,3,58.0,,0.0,,0.0,,Tyler Higbee,HigbTy00,,,
2025,32,LAR,TE,89.0,10,8,366.0,,0.0,,5.0,,Tyler Higbee,HigbTy00,,,
2018,22,SEA,TE,88.0,4,4,,49%,,0%,,25%,Will Dissly,DissWi00,127.0,0.0,29.0
2019,23,SEA,TE,88.0,6,6,,58%,,0%,,42%,Will Dissly,DissWi00,249.0,0.0,71.0
2020,24,SEA,TE,89.0,16,12,,52%,,0%,,47%,Will Dissly,DissWi00,557.0,0.0,213.0
2021,25,SEA,TE,89.0,15,14,,58%,,0%,,44%,Will Dissly,DissWi00,512.0,0.0,181.0
2022,26,SEA,TE,89.0,15,15,,60%,,0%,,44%,Will Dissly,DissWi00,569.0,0.0,180.0
2023,27,SEA,TE,89.0,16,14,,39%,,0%,,42%,Will Dissly,DissWi00,380.0,0.0,178.0
2024,28,LAC,TE,81.0,15,8,,57%,,0%,,3%,Will Dissly,DissWi00,540.0,0.0,10.0
2025,29,LAC,TE,89.0,9,2,,31%,,0%,,27%,Will Dissly,DissWi00,189.0,0.0,63.0
2013,23,PHI,TE,86.0,16,3,450.0,,0.0,,167.0,,Zach Ertz,ErtzZa00,,,
2014,24,PHI,TE,86.0,16,5,588.0,,0.0,,210.0,,Zach Ertz,ErtzZa00,,,
2015,25,PHI,TE,86.0,15,7,789.0,,0.0,,83.0,,Zach Ertz,ErtzZa00,,,
2016,26,PHI,TE,86.0,14,12,849.0,,0.0,,137.0,,Zach Ertz,ErtzZa00,,,
2017*,27,PHI,TE,86.0,14,13,776.0,,0.0,,83.0,,Zach Ertz,ErtzZa00,,,
2018*,28,PHI,TE,86.0,16,16,1000.0,,0.0,,2.0,,Zach Ertz,ErtzZa00,,,
2019*,29,PHI,TE,86.0,15,15,932.0,,0.0,,3.0,,Zach Ertz,ErtzZa00,,,
2020,30,PHI,TE,86.0,11,11,635.0,,0.0,,10.0,,Zach Ertz,ErtzZa00,,,
2021,31,2TM,TE,,17,14,849.0,,0.0,,1.0,,Zach Ertz,ErtzZa00,,,
2022,32,ARI,TE,86.0,10,10,575.0,,0.0,,3.0,,Zach Ertz,ErtzZa00,,,
2023,33,ARI,TE,86.0,7,7,295.0,,0.0,,0.0,,Zach Ertz,ErtzZa00,,,
2024,34,WAS,TE,86.0,17,17,771.0,,0.0,,2.0,,Zach Ertz,ErtzZa00,,,
2025,35,WAS,TE,86.0,13,13,551.0,,0.0,,1.0,,Zach Ertz,ErtzZa00,,,
