Season,Age,Team,Pos,No.,G,GS,offense,Off%,defense,Def%,special_teams,ST%,Player,PlayerID
2023,28,ARI,RB,6.0,13,13,533,,0,,0,,James Conner,ConnJa00
2024,29,ARI,RB,6.0,16,16,619,,0,,0,,James Conner,ConnJa00
2025,30,ARI,RB,6.0,3,3,93,,0,,0,,James Conner,ConnJa00
2022,23,BUF,RB,28.0,16,0,269,,0,,1,,James Cook,CookJa01
2023*,24,BUF,RB,4.0,17,13,634,,0,,0,,James Cook,CookJa01
2024*,25,BUF,RB,4.0,16,16,485,,0,,0,,James Cook,CookJa01
2025*,26,BUF,RB,4.0,17,17,639,,0,,0,,James Cook,CookJa01
2017,21,CIN,RB,28.0,14,7,384,,0,,15,,Joe Mixon,MixoJo00
2018,22,CIN,RB,28.0,14,13,595,,0,,0,,Joe Mixon,MixoJo00
2019,23,CIN,RB,28.0,16,15,653,,0,,0,,Joe Mixon,MixoJo00
2020,24,CIN,RB,28.0,6,6,290,,0,,0,,Joe Mixon,MixoJo00
2021*,25,CIN,RB,28.0,16,16,697,,0,,0,,Joe Mixon,MixoJo00
2022,26,CIN,RB,28.0,14,14,624,,0,,0,,Joe Mixon,MixoJo00
2023,27,CIN,RB,28.0,17,17,752,,0,,0,,Joe Mixon,MixoJo00
2024*,28,HOU,RB,28.0,14,14,557,,0,,0,,Joe Mixon,MixoJo00
2022,23,SFO,RB,24.0,16,0,82,,0,,246,,Jordan Mason,MasoJo00
2023,24,SFO,RB,24.0,17,0,99,,0,,248,,Jordan Mason,MasoJo00
2024,25,SFO,RB,24.0,12,6,378,,0,,27,,Jordan Mason,MasoJo00
2025,26,MIN,RB,27.0,16,5,413,,0,,1,,Jordan Mason,MasoJo00
2016,24,DEN,WR,87.0,16,0,277,,0,,188,,Jordan Taylor,TaylJo01
2017,25,DEN,WR,87.0,10,2,258,,0,,104,,Jordan Taylor,TaylJo01
2022,22,SEA,RB,9.0,15,11,575,,0,,0,,Kenneth Walker III,WalkKe00
