Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,rec_success,rec_long,R/G,Y/G,catch_pct,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%,Lng,Y/A,Y/G.1,A/G,Touch,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,av,awards,Player,PlayerID
2023,23,DEN,NFL,TE,2,1,4,3,25,8.3,0,2,50.0,13.0,1.5,12.5,75.0,6.3,0,0,0,0,,,,0.0,0.0,3,8.3,25,0,0,0.0,,Greg Dulcich,DulcGr00
2024,24,2TM,NFL,TE,9,3,12,5,28,5.6,0,0,8.3,9.0,0.6,3.1,41.7,2.3,0,0,0,0,,,,0.0,0.0,5,5.6,28,0,0,0.0,,Greg Dulcich,DulcGr00
2025,25,MIA,NFL,TE,7,1,20,15,200,13.3,0,9,70.0,29.0,2.1,28.6,75.0,10.0,0,0,0,0,,,,0.0,0.0,15,13.3,200,0,0,,,Greg Dulcich,DulcGr00
2018,25,BAL,NFL,TE,12,0,23,13,163,12.5,1,8,39.1,32.0,1.1,13.6,56.5,7.1,1,0,0,0,0.0,,0.0,0.0,0.1,14,11.6,163,1,0,1.0,,Hayden Hurst,HursHa00
2019,26,BAL,NFL,TE,16,4,39,30,349,11.6,2,16,69.2,61.0,1.9,21.8,76.9,8.9,0,0,0,0,,,,0.0,0.0,30,11.6,349,2,0,5.0,,Hayden Hurst,HursHa00
2020,27,ATL,NFL,TE,16,9,88,56,571,10.2,6,35,51.1,42.0,3.5,35.7,63.6,6.5,0,0,0,0,,,,0.0,0.0,56,10.2,571,6,0,5.0,,Hayden Hurst,HursHa00
2021,28,ATL,NFL,TE,13,5,31,26,221,8.5,3,11,58.1,33.0,2.0,17.0,83.9,7.1,0,0,0,0,,,,0.0,0.0,26,8.5,221,3,3,2.0,,Hayden Hurst,HursHa00
2022,29,CIN,NFL,TE,13,13,68,52,414,8.0,2,26,61.8,29.0,4.0,31.8,76.5,6.1,0,0,0,0,,,,0.0,0.0,52,8.0,414,2,0,4.0,,Hayden Hurst,HursHa00
2023,30,CAR,NFL,TE,9,8,32,18,184,10.2,1,7,46.9,48.0,2.0,20.4,56.3,5.8,0,0,0,0,,,,0.0,0.0,18,10.2,184,1,0,1.0,,Hayden Hurst,HursHa00
2024,31,LAC,NFL,TE,9,2,13,8,73,9.1,0,2,38.5,27.0,0.9,8.1,61.5,5.6,0,0,0,0,,,,0.0,0.0,8,9.1,73,0,0,1.0,,Hayden Hurst,HursHa00
2016,22,SDG,NFL,TE,15,10,53,36,478,13.3,8,30,62.3,59.0,2.4,31.9,67.9,9.0,0,0,0,0,,,,0.0,0.0,36,13.3,478,8,1,4.0,,Hunter Henry,HenrHu00
2017,23,LAC,NFL,TE,14,13,62,45,579,12.9,4,32,67.7,34.0,3.2,41.4,72.6,9.3,0,0,0,0,,,,0.0,0.0,45,12.9,579,4,0,5.0,,Hunter Henry,HenrHu00
2018,24,LAC,NFL,TE,0,0,0,0,0,,0,0,,,,,,,0,0,0,0,,,,,,0,,0,0,0,0.0,,Hunter Henry,HenrHu00
2019,25,LAC,NFL,TE,12,12,76,55,652,11.9,5,36,67.1,30.0,4.6,54.3,72.4,8.6,0,0,0,0,,,,0.0,0.0,55,11.9,652,5,1,5.0,,Hunter Henry,HenrHu00
2020,26,LAC,NFL,TE,14,14,93,60,613,10.2,4,35,51.6,33.0,4.3,43.8,64.5,6.6,0,0,0,0,,,,0.0,0.0,60,10.2,613,4,0,5.0,,Hunter Henry,HenrHu00
2021,27,NWE,NFL,TE,17,10,75,50,603,12.1,9,34,62.7,35.0,2.9,35.5,66.7,8.0,0,0,0,0,,,,0.0,0.0,50,12.1,603,9,0,6.0,,Hunter Henry,HenrHu00
2022,28,NWE,NFL,TE,17,14,59,41,509,12.4,2,23,50.8,39.0,2.4,29.9,69.5,8.6,0,0,0,0,,,,0.0,0.0,41,12.4,509,2,0,4.0,,Hunter Henry,HenrHu00
2023,29,NWE,NFL,TE,14,10,61,42,419,10.0,6,29,63.9,24.0,3.0,29.9,68.9,6.9,0,0,0,0,,,,0.0,0.0,42,10.0,419,6,1,3.0,,Hunter Henry,HenrHu00
2024,30,NWE,NFL,TE,16,16,97,66,674,10.2,2,40,56.7,35.0,4.1,42.1,68.0,6.9,0,0,0,0,,,,0.0,0.0,66,10.2,674,2,0,6.0,,Hunter Henry,HenrHu00
2025,31,NWE,NFL,TE,14,14,72,46,628,13.7,5,34,56.9,36.0,3.3,44.9,63.9,8.7,0,0,0,0,,,,0.0,0.0,46,13.7,628,5,0,,,Hunter Henry,HenrHu00
2018,22,CAR,NFL,TE,16,6,49,36,333,9.3,2,20,53.1,31.0,2.3,20.8,73.5,6.8,0,0,0,0,,,,0.0,0.0,36,9.3,333,2,0,3.0,,Ian Thomas,ThomIa00
2019,23,CAR,NFL,TE,16,3,30,16,136,8.5,1,10,43.3,19.0,1.0,8.5,53.3,4.5,0,0,0,0,,,,0.0,0.0,16,8.5,136,1,0,1.0,,Ian Thomas,ThomIa00
2020,24,CAR,NFL,TE,16,8,31,20,145,7.3,1,11,51.6,21.0,1.3,9.1,64.5,4.7,0,0,0,0,,,,0.0,0.0,20,7.3,145,1,1,1.0,,Ian Thomas,ThomIa00
2021,25,CAR,NFL,TE,17,13,30,18,188,10.4,0,6,43.3,41.0,1.1,11.1,60.0,6.3,0,0,0,0,,,,0.0,0.0,18,10.4,188,0,0,1.0,,Ian Thomas,ThomIa00
2022,26,CAR,NFL,TE,17,17,30,21,197,9.4,0,8,53.3,50.0,1.2,11.6,70.0,6.6,0,0,0,0,,,,0.0,0.0,21,9.4,197,0,0,2.0,,Ian Thomas,ThomIa00
2023,27,CAR,NFL,TE,12,5,9,5,56,11.2,0,1,33.3,28.0,0.4,4.7,55.6,6.2,0,0,0,0,,,,0.0,0.0,5,11.2,56,0,0,0.0,,Ian Thomas,ThomIa00
2024,28,CAR,NFL,TE,5,2,6,3,7,2.3,0,1,16.7,3.0,0.6,1.4,50.0,1.2,0,0,0,0,,,,0.0,0.0,3,2.3,7,0,0,0.0,,Ian Thomas,ThomIa00
2025,29,LVR,NFL,TE,13,8,13,13,114,8.8,0,5,76.9,20.0,1.0,8.8,100.0,8.8,0,0,0,0,,,,0.0,0.0,13,8.8,114,0,0,,,Ian Thomas,ThomIa00
2017,22,TEN,NFL,TE,16,13,30,18,157,8.7,2,5,40.0,32.0,1.1,9.8,60.0,5.2,0,0,0,0,,,,0.0,0.0,18,8.7,157,2,0,1.0,,Jonnu Smith,SmitJo01
