Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,rec_pass_rating,Att,Yds.1,1D.1,YBC.1,YBC/Att,YAC.1,YAC/Att,BrkTkl.1,Att/Br,awards,Player,PlayerID,Rec_Yds,Rec_1D,Rec_AirYds,Rec_AirYds/R,Rec_YAC,Rec_YAC/R,Rec_aDOT,Rec_BrkTkl,Rec_BrkTkl/R,Rec_Drops,Rec_Drop%,Rec_Int,Rec_PassRtg,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YBC/A,Rush_YAC,Rush_YAC/A,Rush_BrkTkl,Awards
2022,23,CHI,NFL,TE,17,17,69,50,544.0,27.0,258.0,5.2,286.0,5.7,6.7,3.0,16.7,2.0,2.9,4.0,105.0,2.0,9.0,1.0,9.0,4.5,0.0,0.0,0.0,,,Cole Kmet,KmetCo00,,,,,,,,,,,,,,,,,,,,,,
2023,24,CHI,NFL,TE,17,17,90,73,719.0,36.0,429.0,5.9,290.0,4.0,6.2,4.0,18.3,1.0,1.1,2.0,112.9,3.0,2.0,2.0,2.0,0.7,0.0,0.0,0.0,,,Cole Kmet,KmetCo00,,,,,,,,,,,,,,,,,,,,,,
2024,25,CHI,NFL,TE,17,16,55,47,474.0,25.0,293.0,6.2,181.0,3.9,7.1,1.0,47.0,1.0,1.8,1.0,119.2,0.0,0.0,0.0,0.0,,0.0,,0.0,,,Cole Kmet,KmetCo00,,,,,,,,,,,,,,,,,,,,,,
2025,26,CHI,NFL,TE,16,15,48,30,347.0,17.0,198.0,6.6,149.0,5.0,8.8,2.0,15.0,2.0,4.2,1.0,89.5,0.0,0.0,0.0,0.0,,0.0,,0.0,,,Cole Kmet,KmetCo00,,,,,,,,,,,,,,,,,,,,,,
2018,23,PHI,NFL,TE,16,8,44,33,334.0,15.0,173.0,5.2,161.0,4.9,7.7,2.0,16.5,1.0,2.3,2.0,107.6,0.0,0.0,0.0,0.0,,0.0,,0.0,,,Dallas Goedert,GoedDa00,,,,,,,,,,,,,,,,,,,,,,
2019,24,PHI,NFL,TE,15,9,87,58,607.0,33.0,276.0,4.8,331.0,5.7,5.8,5.0,11.6,5.0,5.7,3.0,91.5,0.0,0.0,0.0,0.0,,0.0,,0.0,,,Dallas Goedert,GoedDa00,,,,,,,,,,,,,,,,,,,,,,
2020,25,PHI,NFL,TE,11,9,65,46,524.0,28.0,318.0,6.9,206.0,4.5,8.5,6.0,7.7,1.0,1.5,1.0,103.6,0.0,0.0,0.0,0.0,,0.0,,0.0,,,Dallas Goedert,GoedDa00,,,,,,,,,,,,,,,,,,,,,,
2021,26,PHI,NFL,TE,15,14,76,56,830.0,47.0,444.0,7.9,386.0,6.9,8.5,9.0,6.2,5.0,6.6,1.0,121.1,0.0,0.0,0.0,0.0,,0.0,,0.0,,,Dallas Goedert,GoedDa00,,,,,,,,,,,,,,,,,,,,,,
2022,27,PHI,NFL,TE,12,12,69,55,702.0,41.0,282.0,5.1,420.0,7.6,6.1,2.0,27.5,1.0,1.4,0.0,123.6,0.0,0.0,0.0,0.0,,0.0,,0.0,,,Dallas Goedert,GoedDa00,,,,,,,,,,,,,,,,,,,,,,
2023,28,PHI,NFL,TE,14,14,83,59,592.0,33.0,273.0,4.6,319.0,5.4,5.4,2.0,29.5,2.0,2.4,3.0,88.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,,Dallas Goedert,GoedDa00,,,,,,,,,,,,,,,,,,,,,,
2024,29,PHI,NFL,TE,10,10,52,42,496.0,29.0,239.0,5.7,257.0,6.1,6.8,2.0,21.0,1.0,1.9,1.0,111.2,0.0,0.0,0.0,0.0,,0.0,,0.0,,,Dallas Goedert,GoedDa00,,,,,,,,,,,,,,,,,,,,,,
2025,30,PHI,NFL,TE,15,15,82,60,591.0,34.0,357.0,6.0,234.0,3.9,7.1,3.0,20.0,4.0,4.9,0.0,132.7,0.0,0.0,0.0,0.0,,0.0,,0.0,,,Dallas Goedert,GoedDa00,,,,,,,,,,,,,,,,,,,,,,
2023,24,BUF,NFL,TE,16,11,91,73,673.0,32.0,358.0,4.9,315.0,4.3,5.9,3.0,24.3,4.0,4.4,2.0,95.7,0.0,0.0,0.0,0.0,,0.0,,0.0,,,Dalton Kincaid,KincDa00,,,,,,,,,,,,,,,,,,,,,,
2024,25,BUF,NFL,TE,13,9,75,44,448.0,25.0,174.0,4.0,274.0,6.2,7.5,4.0,11.0,6.0,8.0,0.0,84.7,0.0,0.0,0.0,0.0,,0.0,,0.0,,,Dalton Kincaid,KincDa00,,,,,,,,,,,,,,,,,,,,,,
2025,26,BUF,NFL,TE,12,4,49,39,571.0,27.0,312.0,8.0,259.0,6.6,9.5,1.0,39.0,1.0,2.0,0.0,149.2,0.0,0.0,0.0,0.0,,0.0,,0.0,,,Dalton Kincaid,KincDa00,,,,,,,,,,,,,,,,,,,,,,
2018,22,DAL,NFL,TE,11,7,17,12,116.0,6.0,50.0,4.2,66.0,5.5,4.1,2.0,6.0,1.0,5.9,0.0,89.3,0.0,0.0,0.0,0.0,,0.0,,0.0,,,Dalton Schultz,SchuDa00,,,,,,,,,,,,,,,,,,,,,,
2019,23,DAL,NFL,TE,16,0,2,1,6.0,0.0,5.0,5.0,1.0,1.0,10.0,0.0,,0.0,0.0,0.0,56.2,0.0,0.0,0.0,0.0,,0.0,,0.0,,,Dalton Schultz,SchuDa00,,,,,,,,,,,,,,,,,,,,,,
2020,24,DAL,NFL,TE,16,14,89,63,615.0,33.0,336.0,5.3,279.0,4.4,6.4,8.0,7.9,4.0,4.5,2.0,95.5,0.0,0.0,0.0,0.0,,0.0,,0.0,,,Dalton Schultz,SchuDa00,,,,,,,,,,,,,,,,,,,,,,
