player_id,player_name,season,week
00-0023500,F.Gore,2017,2
00-0023500,F.Gore,2017,3
00-0023500,F.Gore,2017,4
00-0023500,F.Gore,2017,5
00-0023500,F.Gore,2017,6
00-0023500,F.Gore,2017,8
00-0023500,F.Gore,2017,9
00-0023500,F.Gore,2017,10
00-0023500,F.Gore,2017,12
00-0023500,F.Gore,2017,14
00-0023500,F.Gore,2017,15
00-0023500,F.Gore,2017,16
00-0023500,F.Gore,2017,17
00-0023500,F.Gore,2018,2
00-0023500,F.Gore,2018,4
00-0023500,F.Gore,2018,6
00-0023500,F.Gore,2018,7
00-0023500,F.Gore,2018,8
00-0023500,F.Gore,2018,9
00-0023500,F.Gore,2018,10
00-0023500,F.Gore,2018,12
00-0023500,F.Gore,2018,13
00-0023500,F.Gore,2018,14
00-0023500,F.Gore,2019,2
00-0023500,F.Gore,2019,3
00-0023500,F.Gore,2019,4
00-0023500,F.Gore,2019,5
00-0023500,F.Gore,2019,7
00-0023500,F.Gore,2019,10
00-0023500,F.Gore,2019,11
00-0023500,F.Gore,2019,13
00-0023500,F.Gore,2019,17
00-0023500,F.Gore,2019,18
00-0023500,F.Gore,2020,2
00-0023500,F.Gore,2020,3
00-0023500,F.Gore,2020,4
00-0023500,F.Gore,2020,6
00-0023500,F.Gore,2020,9
00-0023500,F.Gore,2020,11
00-0023500,F.Gore,2020,12
00-0023500,F.Gore,2020,14
00-0023500,F.Gore,2020,15
00-0023500,F.Gore,2020,16
00-0023564,D.Sproles,2015,10
00-0023564,D.Sproles,2015,11
00-0023564,D.Sproles,2015,12
00-0023564,D.Sproles,2015,13
00-0023564,D.Sproles,2015,14
00-0023564,D.Sproles,2015,15
00-0023564,D.Sproles,2015,16
00-0023564,D.Sproles,2015,17
00-0023564,D.Sproles,2016,1
00-0023564,D.Sproles,2016,2
00-0023564,D.Sproles,2016,3
00-0023564,D.Sproles,2016,5
00-0023564,D.Sproles,2016,6
00-0023564,D.Sproles,2016,7
00-0023564,D.Sproles,2016,8
00-0023564,D.Sproles,2016,9
00-0023564,D.Sproles,2016,10
00-0023564,D.Sproles,2016,11
00-0023564,D.Sproles,2016,12
00-0023564,D.Sproles,2016,13
00-0023564,D.Sproles,2016,14
