Season,Age,Team,Pos,No.,G,GS,offense,Off%,defense,Def%,special_teams,ST%,Player,PlayerID
2020,24,CIN,QB,9,10,10,709,97%,0,0%,0,0%,Joe Burrow,BurrJo01
2021,25,CIN,QB,9,16,16,1007,96%,0,0%,0,0%,Joe Burrow,BurrJo01
2023,27,CIN,QB,9,10,10,602,94%,0,0%,0,0%,Joe Burrow,BurrJo01
