Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YBC/A,Rush_YAC,Rush_YAC/A,Rush_BrkTkl,Rush_BrkTkl/A,Tgt,Rec,Rec_Yds,Rec_1D,Rec_AirYds,Rec_YAC,Rec_BrkTkl,Rec_Drops,Rec_Int,Awards,Player,PlayerID
2020,24,CIN,QB,10,10,37,142,14,119,3.2,23,0.6,3,12.3,0,0,0,0,0,0,0,0,0,,Joe Burrow,BurrJo01
2021,25,CIN,QB,16,16,40,118,20,84,2.1,34,0.9,2,20.0,0,0,0,0,0,0,0,0,0,AP CPoY-1,Joe Burrow,BurrJo01
2022,26,CIN,QB,16,16,75,257,32,220,2.9,37,0.5,0,,0,0,0,0,0,0,0,0,0,"PB,AP MVP-4,AP OPoY-9",Joe Burrow,BurrJo01
2023,27,CIN,QB,10,10,31,88,9,78,2.5,10,0.3,0,,0,0,0,0,0,0,0,0,0,,Joe Burrow,BurrJo01
2024,28,CIN,QB,17,17,42,201,16,166,4.0,35,0.8,0,,0,0,0,0,0,0,0,0,0,"PB,AP MVP-4,AP OPoY-5,AP CPoY-1",Joe Burrow,BurrJo01
2025,29,CIN,QB,8,8,14,41,5,40,2.9,1,0.1,0,,0,0,0,0,0,0,0,0,0,PB,Joe Burrow,BurrJo01
