Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YBC/A,Rush_YAC,Rush_YAC/A,Rush_BrkTkl,Rush_BrkTkl/A,Tgt,Rec,Rec_Yds,Rec_1D,Rec_AirYds,Rec_YAC,Rec_BrkTkl,Rec_Drops,Rec_Int,Awards,Player,PlayerID
2018,27,SFO,QB,3,3,8,33,2,-4,-0.5,37,4.6,0,,0,0,0,0,0,0,0,0,0,,Jimmy Garoppolo,GaroJi00
2019,28,SFO,QB,16,16,46,62,13,45,1.0,17,0.4,1,46.0,0,0,0,0,0,0,0,0,0,AP CPoY-2,Jimmy Garoppolo,GaroJi00
2020,29,SFO,QB,6,6,10,25,3,19,1.9,6,0.6,1,10.0,0,0,0,0,0,0,0,0,0,,Jimmy Garoppolo,GaroJi00
2021,30,SFO,QB,15,15,38,51,15,40,1.1,11,0.3,0,,0,0,0,0,0,0,0,0,0,,Jimmy Garoppolo,GaroJi00
2022,31,SFO,QB,11,10,23,33,12,14,0.6,19,0.8,0,,0,0,0,0,0,0,0,0,0,,Jimmy Garoppolo,GaroJi00
2023,32,LVR,QB,7,6,20,39,6,26,1.3,13,0.7,1,20.0,0,0,0,0,0,0,0,0,0,,Jimmy Garoppolo,GaroJi00
2024,33,LAR,QB,1,1,2,5,0,5,2.5,0,0.0,0,,0,0,0,0,0,0,0,0,0,,Jimmy Garoppolo,GaroJi00
2025,34,LAR,QB,3,0,9,-10,0,-10,-1.1,0,0.0,0,,0,0,0,0,0,0,0,0,0,,Jimmy Garoppolo,GaroJi00
