Season,Age,Team,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards,Player,PlayerID
2016,25,NWE,QB,6,2,119,123,132,135,122,124,142,113,135,,Jimmy Garoppolo,GaroJi00
2017,26,SFO,QB,6,5,133,134,117,120,115,95,92,115,109,,Jimmy Garoppolo,GaroJi00
2018,27,SFO,QB,3,3,117,96,109,95,85,112,83,54,100,,Jimmy Garoppolo,GaroJi00
2019,28,SFO,QB,16,16,121,117,114,112,118,110,92,96,113,AP CPoY-2,Jimmy Garoppolo,GaroJi00
2020,29,SFO,QB,6,6,113,108,102,100,111,104,75,92,101,,Jimmy Garoppolo,GaroJi00
2021,30,SFO,QB,15,15,131,127,117,115,114,100,91,100,110,,Jimmy Garoppolo,GaroJi00
2022,31,SFO,QB,11,10,120,122,124,124,112,111,122,107,121,,Jimmy Garoppolo,GaroJi00
2023,32,LVR,QB,7,6,102,99,80,81,103,100,32,94,80,,Jimmy Garoppolo,GaroJi00
