Season,Age,Team,Pos,G,GS,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YBC/A,Rush_YAC,Rush_YAC/A,Rush_BrkTkl,Rush_BrkTkl/A,Tgt,Rec,Rec_Yds,Rec_1D,Rec_AirYds,rec_air_yds_per_rec,Rec_YAC,rec_yac_per_rec,rec_adot,Rec_BrkTkl,Rec_Drops,rec_drop_pct,Rec_Int,rec_pass_rating,Awards,Player,PlayerID
2018,26,IND,QB,4,0,7,-7,0,-7,-1.0,0,0.0,0,,0,0,0,0,0,,0,,,0,0,,0,,,Jacoby Brissett,BrisJa00
2019,27,IND,QB,15,15,56,228,20,186,3.3,42,0.8,1,56.0,1,1,2,0,0,0.0,2,2.0,0.0,0,0,0.0,0,79.2,,Jacoby Brissett,BrisJa00
2020,28,IND,QB,11,0,17,19,9,8,0.5,11,0.6,0,,0,0,0,0,0,,0,,,0,0,,0,,,Jacoby Brissett,BrisJa00
2021,29,MIA,QB,11,5,19,70,9,57,3.0,13,0.7,0,,0,0,0,0,0,,0,,,0,0,,0,,,Jacoby Brissett,BrisJa00
2022,30,CLE,QB,16,11,49,243,28,170,3.5,73,1.5,2,24.5,0,0,0,0,0,,0,,,0,0,,0,,,Jacoby Brissett,BrisJa00
2023,31,WAS,QB,3,0,3,19,0,10,3.3,9,3.0,0,,0,0,0,0,0,,0,,,0,0,,0,,,Jacoby Brissett,BrisJa00
2024,32,NWE,QB,8,5,15,62,5,49,3.3,13,0.9,0,,0,0,0,0,0,,0,,,0,0,,0,,,Jacoby Brissett,BrisJa00
2025,33,ARI,QB,11,9,34,144,14,92,2.7,52,1.5,2,17.0,0,0,0,0,0,,0,,,0,0,,0,,,Jacoby Brissett,BrisJa00
