Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,tackles_loss,QBHits,safety_md,awards,Player,PlayerID
2023,21,ATL,NFL,RB,17,16,0,0,0,0,0,0,4,0,-7,0,0.0,0,0,0,0,0,0,,Bijan Robinson,RobiBi01
2024,22,ATL,NFL,RB,17,17,0,0,0,0,0,0,1,4,-21,0,0.0,0,0,0,0,0,0,,Bijan Robinson,RobiBi01
2025,23,ATL,NFL,RB,14,14,0,0,0,0,0,0,4,1,0,0,0.0,0,0,0,0,0,0,,Bijan Robinson,RobiBi01
