Season,Age,Team,Lg,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Player,PlayerID
22,LAC,NFL,QB,15,15,6-9-0,396,595,66.6,4336,31,5.2,10,1.7,216,47.8,72,7.3,7.57,10.9,289.1,98.3,62.6,32,218,5.10,6.57,6.84,1,3,13,AP ORoY-1,Justin Herbert,HerbJu00
23,LAC,NFL,QB,17,17,9-8-0,443,672,65.9,5014,38,5.7,15,2.2,256,51.1,72,7.5,7.59,11.3,294.9,97.7,70.9,31,214,4.41,6.83,6.95,5,5,18,PB,Justin Herbert,HerbJu00
24,LAC,NFL,QB,17,17,10-7-0,477,699,68.2,4739,25,3.6,10,1.4,228,46.3,55,6.8,6.85,9.9,278.8,93.2,60.2,38,206,5.16,6.15,6.22,4,5,14,AP MVP-9,Justin Herbert,HerbJu00
25,LAC,NFL,QB,13,13,5-8-0,297,456,65.1,3134,20,4.4,7,1.5,150,46.2,60,6.9,7.06,10.6,241.1,93.2,64.8,29,233,5.98,5.98,6.16,1,1,11,,Justin Herbert,HerbJu00
26,LAC,NFL,QB,17,17,11-6-0,332,504,65.9,3870,23,4.6,3,0.6,175,44.4,66,7.7,8.32,11.7,227.6,101.7,61.7,41,244,7.52,6.65,7.25,1,2,14,"AP MVP-9,AP CPoY-12",Justin Herbert,HerbJu00
27,LAC,NFL,QB,13,13,9-4-0,277,422,65.6,2981,22,5.2,11,2.6,140,46.7,60,7.1,6.93,10.8,229.3,92.7,58.4,45,257,9.64,5.83,5.72,3,3,,,Justin Herbert,HerbJu00
