Season,Age,Team,Lg,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Player,PlayerID
21,NYJ,NFL,QB,13,13,4-9-0,239,414,57.7,2865,17,4.1,15,3.6,130,43.2,76,6.9,6.11,12.0,220.4,77.6,45.9,30,204,6.76,5.99,5.24,1,1,7,,Sam Darnold,DarnSa00
22,NYJ,NFL,QB,13,13,7-6-0,273,441,61.9,3024,19,4.3,13,2.9,147,43.7,92,6.9,6.39,11.1,232.6,84.3,45.6,33,212,6.96,5.93,5.50,2,3,6,,Sam Darnold,DarnSa00
23,NYJ,NFL,QB,12,12,2-10-0,217,364,59.6,2208,9,2.5,11,3.0,109,38.3,69,6.1,5.20,10.2,184.0,72.7,32.9,35,234,8.77,4.95,4.16,0,0,4,,Sam Darnold,DarnSa00
24,CAR,NFL,QB,12,11,4-7-0,243,406,59.9,2527,9,2.2,13,3.2,123,41.0,63,6.2,5.23,10.4,210.6,71.9,38.8,35,204,7.94,5.27,4.35,0,0,6,,Sam Darnold,DarnSa00
25,CAR,NFL,QB,6,6,4-2-0,82,140,58.6,1143,7,5.0,3,2.1,57,44.0,52,8.2,8.20,13.9,190.5,92.6,51.4,10,78,6.67,7.10,7.13,0,1,4,,Sam Darnold,DarnSa00
26,SFO,NFL,QB,10,1,0-1-0,28,46,60.9,297,2,4.3,1,2.2,15,46.2,48,6.5,6.35,10.6,29.7,85.1,50.1,6,40,11.54,4.94,4.85,0,0,1,,Sam Darnold,DarnSa00
27,MIN,NFL,QB,17,17,14-3-0,361,545,66.2,4319,35,6.4,12,2.2,207,47.7,97,7.9,8.22,12.0,254.1,102.5,57.3,48,335,8.09,6.72,6.99,3,5,14,"PB,AP MVP-10,AP CPoY-3",Sam Darnold,DarnSa00
28,SEA,NFL,QB,13,13,10-3-0,241,354,68.1,3162,22,6.2,11,3.1,139,51.8,67,8.9,8.78,13.1,243.2,103.8,64.3,17,114,4.58,8.22,8.07,0,2,,,Sam Darnold,DarnSa00
