Season,Age,Team,Pos,No.,G,GS,offense,Off%,defense,Def%,special_teams,ST%,Player,PlayerID
2012,24,NYG,LB,57,10,3,0,,286,,105,,Jacquian Williams,WillJa02
2013,25,NYG,LLB,57,16,8,0,,605,,205,,Jacquian Williams,WillJa02
2014,26,NYG,RLB,57,9,9,0,,563,,55,,Jacquian Williams,WillJa02
